"metabolic","nonNA_H","detected_H","nonNA_M","detected_M","nonNA_L","detected_L","nonNA_D","detected_D","NA_test_pvalue","NA_test_used"
"Glucosamine",28,1,86,0.905263157894737,39,0.866666666666667,40,0.975609756097561,0.101151029276133,"Fisher"
"Tyrosine",28,1,95,1,45,1,41,1,1,"Fisher"
"N8-Acetylspermidine",28,1,95,1,45,1,41,1,1,"Fisher"
"Acetylcarnitine",28,1,95,1,45,1,41,1,1,"Fisher"
"Tryptophan",28,1,95,1,45,1,41,1,1,"Fisher"
"Indolelactic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Kynurenine",28,1,95,1,45,1,41,1,1,"Fisher"
"3-Hydroxy-kynurenin",13,0.464285714285714,34,0.357894736842105,14,0.311111111111111,21,0.51219512195122,0.187317900568951,"Chi-square"
"Melatonin",25,0.892857142857143,80,0.842105263157895,36,0.8,36,0.878048780487805,0.723532721699123,"Fisher"
"Cystine",28,1,95,1,45,1,41,1,1,"Fisher"
"Cytidine",28,1,95,1,45,1,41,1,1,"Fisher"
"N1-Acetylspermine",9,0.321428571428571,27,0.284210526315789,12,0.266666666666667,13,0.317073170731707,0.938243649466067,"Chi-square"
"Uridine",28,1,95,1,45,1,41,1,1,"Fisher"
"Adenosine",21,0.75,77,0.810526315789474,41,0.911111111111111,34,0.829268292682927,0.290452231398173,"Fisher"
"Inosine",28,1,95,1,45,1,41,1,1,"Fisher"
"6-Methyladenosine",25,0.892857142857143,85,0.894736842105263,41,0.911111111111111,37,0.902439024390244,0.99999999999959,"Fisher"
"Guanosine monophosphate",27,0.964285714285714,79,0.831578947368421,37,0.822222222222222,35,0.853658536585366,0.306993332833929,"Fisher"
"S-Adenosylmethionine",5,0.178571428571429,13,0.136842105263158,4,0.0888888888888889,2,0.0487804878048781,0.300896971437595,"Fisher"
"Alpha-Tocopherol",28,1,95,1,45,1,41,1,1,"Fisher"
"Bilirubin",28,1,94,0.989473684210526,44,0.977777777777778,41,1,0.794580419580532,"Fisher"
"1-Methyladenosine",28,1,95,1,45,1,41,1,1,"Fisher"
"Serotonin",28,1,95,1,45,1,41,1,1,"Fisher"
"Xanthurenic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"4-Trimethylammoniobutanoic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Epinephrine",28,1,95,1,45,1,41,1,1,"Fisher"
"Indolepyruvate",19,0.678571428571429,58,0.610526315789474,26,0.577777777777778,31,0.75609756097561,0.296012616281596,"Chi-square"
"1-Methylguanosine",28,1,95,1,45,1,41,1,1,"Fisher"
"Normetanephrine",17,0.607142857142857,47,0.494736842105263,23,0.511111111111111,26,0.634146341463415,0.406324927331553,"Chi-square"
