"","i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
"72",90,0.969924812030075,0.939393939393939,0.895833333333333,0.857142857142857,100,89.5,87.5,100,83.3,87.5,83.3,87.5
"73",91,0.981203007518797,0.96969696969697,0.8125,0.714285714285714,92.9,100,100,95,100,50,60,100
"74",92,0.977443609022556,0.939393939393939,0.916666666666667,0.857142857142857,92.9,94.7,92.9,94.7,100,75,75,100
"75",93,0.981203007518797,0.939393939393939,0.916666666666667,0.857142857142857,92.9,94.7,92.9,94.7,83.3,87.5,83.3,87.5
"76",95,0.966165413533835,0.939393939393939,0.833333333333333,0.785714285714286,100,89.5,87.5,100,100,62.5,66.7,100
"77",96,0.977443609022556,0.939393939393939,0.833333333333333,0.857142857142857,92.9,94.7,92.9,94.7,100,75,75,100
"78",97,0.977443609022556,0.939393939393939,0.9375,0.928571428571429,92.9,94.7,92.9,94.7,100,87.5,85.7,100
"79",98,0.984962406015038,0.96969696969697,0.854166666666667,0.857142857142857,100,94.7,93.3,100,66.7,100,100,80
"80",99,0.958646616541353,0.939393939393939,0.979166666666667,0.928571428571429,92.9,94.7,92.9,94.7,100,87.5,85.7,100
"81",100,0.984962406015038,0.96969696969697,0.833333333333333,0.857142857142857,100,94.7,93.3,100,66.7,100,100,80
