"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
31,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.2755","0.1458 - 0.4052","3e-05"
31,"train_full","0.3571","0.1061 - 0.6081","0.00529","0.2755","0.1458 - 0.4052","3e-05"
32,"test_clin","0.1667","-0.1315 - 0.4649","0.27332","0.3096","0.1526 - 0.4666","0.00011"
32,"test_full","0.3333","-0.0439 - 0.7105","0.08326","0.3096","0.1526 - 0.4666","0.00011"
32,"train_clin","0.1579","-0.0992 - 0.415","0.22864","0.1911","0.0789 - 0.3033","0.00084"
32,"train_full","0.3195","0.0641 - 0.575","0.0142","0.1911","0.0789 - 0.3033","0.00084"
33,"test_clin","0.1667","-0.1315 - 0.4649","0.27332","0.2878","0.1232 - 0.4524","0.00061"
33,"test_full","0.3333","-0.0439 - 0.7105","0.08326","0.2878","0.1232 - 0.4524","0.00061"
33,"train_clin","0.1053","-0.1361 - 0.3466","0.39261","0.198","0.1062 - 0.2897","2e-05"
33,"train_full","0.3346","0.0541 - 0.6151","0.0194","0.198","0.1062 - 0.2897","2e-05"
34,"test_clin","0","-0.462 - 0.462","1","0.2105","-0.0487 - 0.4697","0.1114"
34,"test_full","0.625","0.1639 - 1.0861","0.00789","0.2105","-0.0487 - 0.4697","0.1114"
34,"train_clin","0.1579","-0.0992 - 0.415","0.22864","0.2048","0.1011 - 0.3085","0.00011"
34,"train_full","0.3872","0.1384 - 0.636","0.00228","0.2048","0.1011 - 0.3085","0.00011"
35,"test_clin","0","-0.462 - 0.462","1","0.2248","0.0368 - 0.4128","0.01912"
35,"test_full","0.3333","-0.0439 - 0.7105","0.08326","0.2248","0.0368 - 0.4128","0.01912"
35,"train_clin","0.4248","0.1423 - 0.7073","0.0032","0.4199","0.3067 - 0.5331","0"
35,"train_full","0.6241","0.3461 - 0.9021","1e-05","0.4199","0.3067 - 0.5331","0"
37,"test_clin","0","-0.462 - 0.462","1","0.1155","-0.0505 - 0.2814","0.17256"
37,"test_full","0.3333","-0.0439 - 0.7105","0.08326","0.1155","-0.0505 - 0.2814","0.17256"
37,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.2837","0.1637 - 0.4037","0"
37,"train_full","0.3383","0.0813 - 0.5954","0.00989","0.2837","0.1637 - 0.4037","0"
38,"test_clin","-0.1667","-0.4649 - 0.1315","0.27332","0.2687","0.0986 - 0.4388","0.00196"
38,"test_full","0.1667","-0.1315 - 0.4649","0.27332","0.2687","0.0986 - 0.4388","0.00196"
38,"train_clin","0.3722","0.0371 - 0.7073","0.02948","0.3335","0.2184 - 0.4485","0"
38,"train_full","0.6767","0.383 - 0.9704","1e-05","0.3335","0.2184 - 0.4485","0"
39,"test_clin","0.125","-0.3907 - 0.6407","0.63473","0.3155","0.0894 - 0.5417","0.00625"
39,"test_full","0.2917","-0.0844 - 0.6678","0.12851","0.3155","0.0894 - 0.5417","0.00625"
39,"train_clin","0.1429","-0.1639 - 0.4496","0.36132","0.2494","0.1303 - 0.3685","4e-05"
39,"train_full","0.2669","0.0297 - 0.5042","0.02744","0.2494","0.1303 - 0.3685","4e-05"
4,"test_clin","0.125","-0.3907 - 0.6407","0.63473","0.152","-0.0989 - 0.4029","0.23501"
4,"test_full","0.5","0.0999 - 0.9001","0.01431","0.152","-0.0989 - 0.4029","0.23501"
4,"train_clin","0.1429","-0.127 - 0.4127","0.29939","0.2858","0.167 - 0.4045","0"
4,"train_full","0.5","0.2381 - 0.7619","0.00018","0.2858","0.167 - 0.4045","0"
40,"test_clin","-0.3333","-0.8455 - 0.1788","0.2021","0.0794","-0.1901 - 0.3489","0.56378"
40,"test_full","0.3333","-0.0439 - 0.7105","0.08326","0.0794","-0.1901 - 0.3489","0.56378"
40,"train_clin","0.2669","-0.0421 - 0.5759","0.09044","0.3934","0.2562 - 0.5305","0"
40,"train_full","0.4286","0.1693 - 0.6878","0.00119","0.3934","0.2562 - 0.5305","0"
41,"test_clin","0.0417","-0.3344 - 0.4178","0.8281","0.2746","0.1027 - 0.4466","0.00174"
41,"test_full","0.7917","0.3503 - 1.233","0.00044","0.2746","0.1027 - 0.4466","0.00174"
41,"train_clin","0.1955","-0.1273 - 0.5182","0.23516","0.2512","0.1354 - 0.367","2e-05"
41,"train_full","0.4286","0.1693 - 0.6878","0.00119","0.2512","0.1354 - 0.367","2e-05"
42,"test_clin","0.1667","-0.1315 - 0.4649","0.27332","0.2585","0.1605 - 0.3566","0"
42,"test_full","0.3333","-0.0439 - 0.7105","0.08326","0.2585","0.1605 - 0.3566","0"
42,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.224","0.0888 - 0.3592","0.00116"
42,"train_full","0.4586","0.1806 - 0.7367","0.00122","0.224","0.0888 - 0.3592","0.00116"
