"","i","train_auc_clin","acc_train_clin","test_auc_clin","acc_test_clin","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
"25",25,0.606060606060606,0.621621621621622,0.692063492063492,0.694444444444444,33.3,95.5,83.3,67.7,40,95.2,85.7,69
"26",26,0.73030303030303,0.702702702702703,0.609523809523809,0.666666666666667,60,77.3,64.3,73.9,33.3,95.2,83.3,66.7
"27",27,0.796969696969697,0.675675675675676,0.517460317460317,0.527777777777778,93.3,68.2,66.7,93.8,40,81,60,65.4
"28",28,0.657575757575758,0.648648648648649,0.638095238095238,0.611111111111111,33.3,95.5,83.3,67.7,33.3,100,100,67.7
"29",29,0.71969696969697,0.72972972972973,0.585714285714286,0.555555555555556,53.3,90.9,80,74.1,53.3,66.7,53.3,66.7
"30",30,0.612121212121212,0.621621621621622,0.707936507936508,0.583333333333333,33.3,100,100,68.8,73.3,61.9,57.9,76.5
"31",31,0.589393939393939,0.594594594594595,0.715873015873016,0.583333333333333,26.7,95.5,80,65.6,46.7,95.2,87.5,71.4
"32",32,0.666666666666667,0.486486486486487,0.642857142857143,0.611111111111111,86.7,45.5,52,83.3,40,100,100,70
"33",33,0.693939393939394,0.702702702702703,0.646031746031746,0.583333333333333,46.7,95.5,87.5,72.4,86.7,42.9,52,81.8
"34",34,0.824242424242424,0.756756756756757,0.531746031746032,0.444444444444444,60,100,100,78.6,80,33.3,46.2,70
"35",35,0.746969696969697,0.72972972972973,0.542857142857143,0.583333333333333,46.7,100,100,73.3,20,100,100,63.6
"36",36,0.7,0.72972972972973,0.59047619047619,0.527777777777778,53.3,100,100,75.9,93.3,38.1,51.9,88.9
"37",37,0.756060606060606,0.72972972972973,0.517460317460318,0.694444444444444,60,86.4,75,76,26.7,100,100,65.6
"38",38,0.718181818181818,0.594594594594595,0.598412698412698,0.583333333333333,93.3,45.5,53.8,90.9,73.3,52.4,52.4,73.3
"39",39,0.603030303030303,0.648648648648649,0.711111111111111,0.416666666666667,33.3,90.9,71.4,66.7,93.3,42.9,53.8,90
"40",40,0.718181818181818,0.702702702702703,0.593650793650794,0.611111111111111,60,81.8,69.2,75,46.7,76.2,58.3,66.7
"41",41,0.681818181818182,0.756756756756757,0.607936507936508,0.583333333333333,53.3,90.9,80,74.1,93.3,33.3,50,87.5
"42",42,0.722727272727273,0.675675675675676,0.588888888888889,0.5,46.7,100,100,73.3,93.3,38.1,51.9,88.9
"43",43,0.645454545454546,0.405405405405405,0.646031746031746,0.611111111111111,86.7,40.9,50,81.8,33.3,100,100,67.7
"44",44,0.724242424242424,0.702702702702703,0.56984126984127,0.666666666666667,66.7,72.7,62.5,76.2,33.3,95.2,83.3,66.7
"45",45,0.675757575757576,0.513513513513513,0.666666666666667,0.666666666666667,80,59.1,57.1,81.2,46.7,90.5,77.8,70.4
"46",46,0.610606060606061,0.621621621621622,0.682539682539683,0.666666666666667,33.3,95.5,83.3,67.7,40,95.2,85.7,69
"47",47,0.628787878787879,0.648648648648649,0.674603174603175,0.583333333333333,33.3,95.5,83.3,67.7,40,100,100,70
"48",48,0.721212121212121,0.648648648648649,0.652380952380952,0.638888888888889,73.3,72.7,64.7,80,46.7,100,100,72.4
"49",49,0.672727272727273,0.675675675675676,0.642857142857143,0.611111111111111,33.3,100,100,68.8,86.7,42.9,52,81.8
"50",50,0.753030303030303,0.648648648648649,0.6,0.611111111111111,93.3,54.5,58.3,92.3,53.3,81,66.7,70.8
"51",51,0.812121212121212,0.648648648648649,0.488888888888889,0.583333333333333,80,68.2,63.2,83.3,20,100,100,63.6
"52",52,0.677272727272727,0.567567567567568,0.622222222222222,0.694444444444444,80,59.1,57.1,81.2,46.7,90.5,77.8,70.4
"53",53,0.836363636363636,0.648648648648649,0.43968253968254,0.611111111111111,100,54.5,60,100,20,100,100,63.6
"54",54,0.598484848484849,0.675675675675676,0.682539682539683,0.666666666666667,33.3,95.5,83.3,67.7,60,71.4,60,71.4
"55",55,0.712121212121212,0.675675675675676,0.587301587301587,0.611111111111111,40,100,100,71,26.7,95.2,80,64.5
"56",56,0.75,0.648648648648649,0.561904761904762,0.611111111111111,46.7,100,100,73.3,33.3,85.7,62.5,64.3
"57",57,0.7,0.72972972972973,0.59047619047619,0.666666666666667,40,95.5,85.7,70,33.3,95.2,83.3,66.7
"58",58,0.559090909090909,0.594594594594595,0.719047619047619,0.583333333333333,20,100,100,64.7,53.3,90.5,80,73.1
"59",59,0.671212121212121,0.594594594594595,0.603174603174603,0.694444444444444,93.3,40.9,51.9,90,40,95.2,85.7,69
"60",60,0.572727272727273,0.594594594594595,0.757142857142857,0.416666666666667,33.3,95.5,83.3,67.7,73.3,76.2,68.8,80
"61",61,0.653030303030303,0.513513513513513,0.661904761904762,0.611111111111111,93.3,40.9,51.9,90,66.7,71.4,62.5,75
"62",62,0.633333333333333,0.405405405405405,0.655555555555556,0.666666666666667,93.3,36.4,50,88.9,46.7,85.7,70,69.2
"63",63,0.665151515151515,0.648648648648649,0.642857142857143,0.472222222222222,60,81.8,69.2,75,93.3,33.3,50,87.5
"64",64,0.743939393939394,0.72972972972973,0.566666666666667,0.638888888888889,53.3,90.9,80,74.1,20,100,100,63.6
"65",65,0.621212121212121,0.621621621621622,0.676190476190476,0.638888888888889,53.3,77.3,61.5,70.8,40,95.2,85.7,69
"66",66,0.693939393939394,0.567567567567568,0.63968253968254,0.583333333333333,80,59.1,57.1,81.2,73.3,61.9,57.9,76.5
"67",67,0.701515151515152,0.675675675675676,0.604761904761905,0.694444444444444,53.3,86.4,72.7,73.1,40,95.2,85.7,69
"68",68,0.701515151515151,0.540540540540541,0.63968253968254,0.694444444444444,93.3,45.5,53.8,90.9,40,95.2,85.7,69
"69",69,0.724242424242424,0.594594594594595,0.550793650793651,0.722222222222222,86.7,54.5,56.5,85.7,40,95.2,85.7,69
