,PRA001,PRA002,PRA003,PRA004,PRA005,PRA006,PRA007,PRA008,PRA009,PRA010,PRA011,PRA012,PRA013,PRA014,PRA015,PRA016,PRA017,PRA018,PRA019,PRA020,PRA021,PRA022,PRA023,PRA024,PRA025,PRA026,PRA027,PRA028,PRA029,PRA030,PRA031,PRA032,PRA033,PRA034,PRA035,PRA036,PRA037,PRA038,PRA039,PRA040,PRA041,PRA042,PRA043,PRA044,PRA045,PRA046,PRA047,PRA048,PRA049,PRA050,PRA051,PRA052,PRA053,PRA054,PRA055,PRA056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3',5'-Cyclic GMP",0.289889724,0.43090391,-0.462336587,0.242132439,0.509389041,0.433541265,0.641447413,-0.24169005,0.630651229,0.246730035,0.489730484,0.855110805,0.109006409,-1.511015197,0.070042772,0.498799577,0.593494769,0.20603417,0.63166943,0.088076341,-2.484718889,0.329916524,-0.328194721,-0.121533464,0.218104314,0.657450816,0.519999582,0.628317723,0.186441591,0.147543753,0.762013569,0.593537872,1.042668683,0.615121482,-0.179102675,0.008787541,0.170592041,0.411114081,0.742415029,0.524223868,-0.015059417,0.128023563,0.688350058,0.496105701,0.32700086,0.750020186,1.143753298,1.01685307,-2.484718889,1.348453622,0.740324223,1.087968859,-2.484718889,0.74801431,-1.31322869,1.036596023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibberellin A3,0.68540143,0.451223371,-0.581805493,0.964205681,0.825390648,0.74904782,1.216621216,-1.03295889,0.707058551,0.608241317,0.606802871,0.040218282,1.366355853,-0.597996714,0.309729191,1.394982191,0.12557545,-0.512098551,1.565420812,1.281249381,0.756427523,0.98618159,-0.935317619,0.405817408,0.672458803,0.449379649,-0.366426203,1.119362845,0.894287751,0.97961062,0.902019,1.077762476,0.70672267,0.471170222,0.648701007,1.366171188,0.766117826,0.460686159,1.373065721,1.432934178,0.302349926,0.759684323,1.073614722,1.082686085,0.500989861,1.539442008,1.833834301,-0.673368851,-1.581821859,0.750372666,0.09325901,0.976975595,1.551832317,0.378828515,-0.178705328,0.907711657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenosine monophosphate,0.137957226,0.161265576,-1.682627461,0.339105754,0.523863336,0.29449035,-0.138105904,-1.083861437,-1.082935268,-2.138115373,0.197319121,-0.012160311,-0.553004006,-1.947918185,-0.653993239,0.21802422,-0.385415525,0.267527388,1.708027859,0.409194154,-0.821819675,0.268092688,-0.953302163,0.093661712,-0.5555199,0.244637292,1.980949307,0.14170826,0.091278815,0.250227303,0.026884859,0.15213136,-2.547522903,-0.931056083,-2.933533672,1.468597285,-0.191558213,-0.900644071,0.091515685,-0.621285447,-0.687979545,-2.810356098,-0.919610453,-0.053027834,0.339513465,-0.410343829,-1.160185772,-2.192709452,-1.005722586,-2.651137491,-0.402751341,-0.35553346,-0.017866955,1.9497944,-3.782896772,-1.335834174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inosinic acid,0.140389559,0.345705265,-2.00558157,1.021514685,1.322343497,0.627303696,-0.739822191,-1.142191343,-0.983163531,1.177643017,1.284083849,-0.907494243,-0.285018087,-2.179635349,-0.429446017,0.27401347,-0.094932684,1.554320211,-2.019799971,0.454817054,-0.467077153,-0.527403899,-0.885823022,0.628024226,-0.22517761,1.737917767,-1.858861759,-0.021600983,0.702139665,1.386417013,0.533790956,0.67163881,0.193663812,0.235789091,0.830056554,-0.006974197,-0.007254945,-0.873192108,-0.232624026,-1.046717865,-1.279179294,-1.548176304,0.147116249,-0.725432841,-0.531405225,-1.471976099,-0.963741782,-0.955207977,-2.456436235,-4.492914677,-0.366121764,-0.463745503,-0.396436205,-0.879119222,-3.537559013,-1.054678386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prostaglandin E2,0.731054445,0.738301276,-0.269016511,0.80916,0.807540868,0.722188313,0.90650909,-0.204141532,0.968765925,0.812268102,0.588163259,0.590187616,0.863129556,-0.312604207,0.369093055,0.810191866,0.652810141,0.623290292,0.684895023,0.977737385,1.146339891,0.810973985,0.128637376,0.777246586,0.777676389,0.510427301,0.687471763,0.334262919,0.728342161,0.850009626,0.601689232,0.631620075,0.73102728,0.69009474,0.6522049,0.719555374,0.639565573,0.787867419,0.790150159,0.799191386,0.361097174,0.320267308,1.01941029,1.001341791,0.744099701,0.80203469,1.128065042,0.599043457,0.104033557,0.363899527,1.025433104,1.083395109,1.06739654,0.515021005,-0.258035622,0.966509058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orotidylic acid,0.605861406,0.596132608,-1.534335809,0.260587603,0.435358343,0.783570845,0.530478243,-2.219679987,0.531540241,1.322157552,0.329460891,0.488280847,1.608488961,-1.50076566,-0.21056095,0.174170904,0.036505959,-0.701562784,0.522850099,0.560040448,-3.138932874,0.406099463,-0.962685818,0.555698633,0.213075442,0.503818561,0.485376638,0.698343795,0.081394027,-0.13098587,1.089079289,0.110837921,0.108162302,0.857165772,-0.223768777,0.581884006,0.215750028,1.273801581,0.62009168,-0.130369334,0.899025509,-0.370299966,0.688686567,0.730471857,1.074765157,0.308839115,0.99612966,0.444394346,-1.31309902,0.232369096,0.243390688,0.139200399,-3.138932874,1.194282933,-0.095444842,0.920118929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-Adenosylhomocysteine,0.316927119,-0.594686961,-2.484412175,0.658842712,0.445265707,0.228537547,-0.037634406,-2.200705626,0.540414814,-0.579715413,0.309656475,0.037909602,-0.869319743,-3.010094033,-0.447120424,0.466626293,-0.142095818,-0.48393546,-0.57819422,-0.018533678,-0.60701594,0.372962445,-1.802867753,0.642954652,0.631678933,-0.124245692,-0.365309401,0.09898798,0.299768438,0.470632199,-0.192435129,-0.16496451,0.063268993,0.688299868,-0.184058475,0.007535293,-0.976938442,0.102686026,0.019165018,-0.416905591,0.165212077,0.213949311,-0.123126103,0.267510231,0.173742368,0.095769251,-0.333840087,0.697244719,-3.017423003,0.022405042,0.68655539,0.572230152,0.025947577,-0.205201,-2.765480775,-0.675071445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uridine 5'-diphosphate,1.054100953,-0.012804942,-1.829795091,1.367569994,0.978553094,1.398192874,1.140870792,0.387508977,0.220467322,1.36600943,1.160484664,1.125082709,0.586939305,-0.618667466,1.236844469,-0.109296844,-0.266355295,1.389346937,0.188427279,0.959993328,-3.106827381,0.774225655,0.05718141,1.495489764,0.61128382,1.299506752,0.787245843,0.977410275,0.859199417,1.34534575,1.190978497,1.327078787,1.572845364,0.033417079,1.311546527,0.284826105,1.311943682,-0.61896477,1.086805833,0.673514025,0.42443254,-0.748686662,-0.261339326,-0.480621007,1.030580424,0.209525956,0.449331428,-0.045026136,-1.035873847,-0.66337675,0.189467854,0.494659515,-3.106827381,0.263515247,-0.927129512,-0.878715159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenosine 5'-diphosphate,1.48755027,2.24250221,-0.2894757,1.53262714,1.81400792,1.94782114,1.31453342,0.2011385,-0.14552698,1.63319136,2.08410739,1.59407875,0.48459912,-0.52806289,0.74895571,1.09401191,1.01357478,1.71832497,0.08385866,1.48393322,0.20548554,0.76126483,0.37631349,1.50817826,0.92975772,1.80525795,0.45803071,1.16885407,1.31194068,1.53355211,1.39765383,1.54827565,1.74623989,0.24716497,1.6863193,0.3444007,2.17094048,0.46827113,1.500337,-0.09855348,0.32439909,-0.74293602,0.50753833,0.85751137,0.63276692,0.92071792,1.2035461,0.20729355,-1.63229984,-0.82357694,0.13268505,0.54371513,0.26064432,0.58591478,-0.47924552,0.02054592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folic acid,-1.35280572,-1.35280572,-1.35280572,0.532352397,0.388062874,0.669748703,-1.35280572,-0.003960708,0.656146452,0.403791522,-1.35280572,0.267656894,0.468034059,-0.811858256,0.821332734,0.759719312,0.596791245,-0.04682326,-1.35280572,-1.35280572,-1.35280572,-1.35280572,-1.35280572,-1.35280572,0.864201981,0.218045249,0.348201548,0.329776174,0.335764935,0.4438484,0.093511201,0.440733246,1.090436384,0.694598916,0.408272931,1.073095491,-1.35280572,-1.35280572,-1.35280572,-1.35280572,-1.35280572,0.726863254,-1.35280572,-1.35280572,-1.35280572,-1.35280572,-1.35280572,-1.35280572,-0.133131181,-1.35280572,0.953507927,0.262252063,-1.35280572,-1.35280572,-0.229371005,-1.35280572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanosine 5'-diphosphate,1.562250866,-0.300082231,-1.808111781,1.468516984,2.250505091,1.711256457,0.320727941,-0.550168258,1.367960686,1.936202571,1.548020826,1.096401187,-0.127386982,-1.286301068,0.144154791,0.302143375,0.245005823,1.42012973,-0.60696496,0.913060668,-0.598858047,1.022794321,-0.37448127,-0.237718276,-4.354675794,1.295059204,-0.902895861,0.841476952,1.076617305,1.767047389,1.165574894,2.586403668,1.731787664,-0.520421457,1.491398352,0.554276207,1.17332702,-0.614924153,0.754151437,1.03254994,0.21244582,0.029167885,0.304721491,0.726487828,0.044392872,0.608747628,0.010402631,-0.053237632,-1.362650059,-0.425378991,-0.211915129,-0.375972575,0.54152875,-0.620108459,-1.563598315,-0.197614162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Methyltetrahydrofolic acid,0.61858258,-1.22195233,-1.22195233,-1.22195233,0.81152332,0.58101705,-1.22195233,-1.22195233,0.76497754,-1.22195233,-1.22195233,1.01789452,0.84494547,-1.22195233,0.48902629,-1.22195233,0.56815468,0.7790639,0.67408392,1.051649,-1.22195233,-1.22195233,-1.22195233,-1.22195233,0.98429539,0.86700104,-1.22195233,0.83458601,0.84878516,0.60130587,0.92908562,0.86080054,0.88430899,0.7922826,0.68146371,-1.22195233,0.30964201,0.83572635,0.97747176,-1.22195233,1.05232389,0.91205225,1.00737115,0.86037052,-1.22195233,0.86227436,0.99123604,0.8669086,-1.22195233,0.9440309,0.96982427,0.76550871,-1.22195233,-1.22195233,-1.22195233,1.13859476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycocholic acid,0.970475598,1.76736351,-2.191585312,0.067556267,-0.067739291,-0.151424066,0.884591064,-1.740962742,-0.115502039,0.988288881,1.096445201,-0.007283677,0.265803342,-1.988166386,0.224941017,-0.258969351,0.963021622,-0.849707056,-0.270564441,1.108542452,0.041480275,0.363436431,-0.189025632,0.062632313,1.870037968,0.595776876,1.005288275,0.427986714,1.328538249,0.545224797,1.221263656,-0.243064142,0.233248813,0.715616115,0.814775934,0.852420798,0.138270425,1.005945203,0.703756816,0.257744891,0.659748327,-0.160674848,0.41726276,0.950632136,0.550021721,0.834478958,-1.064600803,-0.414422114,-1.132260239,1.456690502,0.603093051,0.068439259,0.743975682,1.621926555,-2.149693308,-0.209954764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenosine 5'-triphosphate,0.547696416,0.781232981,-0.347388603,1.740781933,0.280850015,0.469711698,1.170297818,-1.040334739,0.701094637,0.747514294,-0.332202101,1.262514779,-0.161228366,-0.445754783,0.207532466,0.57443448,1.292576081,1.7813513,-0.025342996,-0.183873145,-3.18492432,0.123655449,-0.283175362,0.521687769,0.611124976,1.544084171,0.368455645,1.530308048,2.028435217,0.365105225,1.087226705,1.302621556,1.794236619,0.394850988,1.009775637,0.832170604,1.492284104,0.813285597,2.133270859,0.412709391,-0.560773608,1.55711812,0.08082359,0.615325868,0.674092309,0.795848318,0.976565206,0.357843339,-0.558735405,1.241286233,0.393686046,0.787482206,-3.18492432,1.344221426,-1.330937751,0.220045602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taurocholic acid,1.143455598,1.392204218,-1.118055247,0.382114144,0.561484147,0.178026611,0.301023435,-1.393521605,-0.329725621,1.393563276,0.361382877,-0.617798743,0.085412522,-1.475883886,0.203922577,-0.834615184,1.319214121,-0.35031125,0.057587717,1.200680297,-1.069410468,0.192234322,1.135651433,0.271417835,1.772672645,0.720915584,0.700527307,0.292970639,1.633239566,0.738892219,1.674474119,-0.309224161,0.010548493,0.590342495,1.131055326,0.720473898,0.167826022,1.049272687,1.555426995,-0.422297678,0.831568635,-1.379537055,0.558320186,0.884136863,0.418495433,0.704411579,0.249578864,-0.485900921,-0.577299694,1.40282402,0.474709222,0.183427425,0.424784896,1.175177281,-1.527966785,-0.121685502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxidized glutathione,-0.61943383,-0.61943383,-0.61943383,1.61720579,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,1.68536827,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,1.89846308,-0.61943383,-0.61943383,1.17737432,-0.61943383,-0.61943383,-0.61943383,-0.61943383,1.53407242,-0.61943383,-0.61943383,1.33720447,1.69888676,2.12543109,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,1.68056263,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,-0.61943383,1.13553819,-0.61943383,1.3397139,-0.61943383,-0.61943383,-0.61943383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAD,0.78634208,0.67692149,-1.03010834,0.74256456,1.19996499,-1.03010834,0.95533789,-0.01811846,-1.03010834,0.76401182,1.10590425,0.9377567,1.01263802,-0.09638515,0.87642349,1.04936513,-1.03010834,1.08237703,-1.03010834,-1.03010834,0.51578979,-1.03010834,-1.03010834,-1.03010834,-1.03010834,1.07919432,-1.03010834,1.13043276,1.28341287,-1.03010834,0.93331931,0.70197435,0.69028391,1.1821015,1.09946826,-1.03010834,1.47540881,-1.03010834,1.08908074,-1.03010834,1.14919804,0.97106724,-1.03010834,-1.03010834,-1.03010834,-1.03010834,-1.03010834,-1.03010834,-0.15335356,-1.03010834,-1.03010834,-1.03010834,0.55049617,0.90529874,0.22572105,1.06079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactic acid,0.434021549,-0.143899839,-2.014747416,0.490419402,0.330092643,0.282190105,0.710509409,-1.958296332,0.267472076,0.143905337,0.066418324,0.26788988,0.118723213,-2.5749847,-0.224588021,0.784814959,0.32369832,-0.559253342,-0.190054794,0.588876265,0.083018707,0.491486988,-7.72259048,0.543234622,0.599491723,0.346209393,0.223607327,-0.15836665,0.007369753,0.356462311,0.094019,0.195927463,0.200913984,0.073286515,0.174583621,0.058303123,-0.07304558,0.262782175,0.293083213,0.174922461,0.110181938,0.691839535,0.539756768,0.597152062,0.739170425,0.507415694,0.174485636,0.820160524,-7.215664961,0.463847902,0.974419267,0.699820848,0.385238754,0.074294676,-1.63112048,-0.105334024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumarate,0.257932942,0.609702017,-2.46624562,0.002657518,-0.345031918,-0.074854794,0.599428514,-1.698825353,0.903367628,0.090326893,-0.040736508,0.247951083,0.282546694,-2.578826198,0.400221374,3.236694121,0.11283795,-0.349003516,0.189388191,-0.144178292,0.436804014,0.597100109,-0.878811048,-1.890208777,0.646190792,0.001814714,-0.210853093,-0.292402631,-0.188288526,0.042670219,-0.265584093,-0.009050252,0.170274703,-0.079954534,-0.187819269,0.301018317,0.15126483,0.14983057,-0.084366127,0.892595773,0.180851491,0.167168843,-0.216672847,0.443642616,0.928627849,0.542573266,0.09210768,0.246704493,-1.731073062,0.078162709,0.747153148,0.361576005,-0.77700255,0.410352088,-2.289654242,-0.199170338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citraconic acid,0.37605201,0.106092617,-2.552211042,0.368893027,0.313193238,0.400433683,0.815940164,-2.807219308,0.627238412,0.485501804,0.025040777,0.159906106,-3.724123442,-3.870843508,-0.055666633,0.23161831,0.54119108,-0.674334169,-0.194254616,0.562723996,0.19840362,0.565649806,-1.573861133,0.000901449,0.792808975,0.42927812,0.463128612,0.569972385,-0.129508178,0.303001226,0.499642362,0.757982919,0.04598809,0.49179565,0.002050317,0.40510535,-0.22364409,0.65844505,0.249194765,0.43510621,1.108363063,0.423723489,0.592781952,0.642240131,0.492270761,0.806690797,1.064690473,-0.143752672,-2.660183087,0.686145831,0.815063233,1.355971708,0.445392955,0.598420088,-2.396854383,0.131288698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allantoin,0.632635693,0.013615347,-1.702655978,1.115449156,0.894879605,0.521098267,0.128271493,-1.710708929,0.217941821,0.380909356,0.333450496,0.353389831,0.790903544,-2.059953093,-0.26887743,1.313405355,0.66588274,-0.087529223,0.285809789,0.611922521,0.753880834,1.591374908,-1.09670064,2.046338603,0.928118142,0.14847075,0.528827226,0.809155638,0.404141566,0.975574356,0.177962461,0.656661546,1.840404501,1.017045877,0.736326535,1.289718632,0.410541395,0.573087561,0.17748672,0.858449872,0.831884167,-0.311252202,0.702598094,0.708214045,0.441556559,0.570241615,0.773611057,1.679691619,-1.456740854,-0.061301748,1.053134736,2.350750617,1.105531002,0.261543547,-1.464206832,0.290180688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitic acid,0.421123488,-0.255318565,-2.55450364,0.202755745,-0.068894302,0.089048691,0.710885454,-2.494721489,0.962513599,0.551811751,-0.053285603,0.331211676,0.480373291,-2.885659209,-0.193948352,0.071785543,0.521747086,-0.42261229,0.061671655,0.461694908,0.321017277,0.629170988,-1.175826885,0.072119958,0.314571877,-4.718892836,0.240837045,0.314074516,-0.027221906,0.362175736,-0.358910549,0.348641832,0.289616562,0.297387252,-0.083654745,0.217578665,-0.067472666,0.568840043,-0.02022654,0.640588688,0.328839271,-0.338012853,0.167896451,0.676344541,0.926634235,0.265331685,0.085450076,-0.186485415,-2.034460175,-0.026039581,0.802110334,0.360427233,0.135214976,0.480104363,-2.208848699,-0.049965391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citric acid,0.579945515,-0.333655008,-2.292592057,0.693406628,0.16292773,0.26044913,0.763744694,-1.81964081,0.804712613,0.421287492,0.263264364,0.536473488,0.4604768,-2.662993548,0.163694288,-0.19404128,0.664119511,-0.27246281,0.359233005,0.343400531,0.381446092,-0.040780278,0.545183819,1.387599219,0.553944457,0.059925916,0.511744321,0.405408951,-0.054711662,0.488221146,0.071993579,0.049576496,0.472129778,0.277651501,0.074637609,1.02648932,0.197231902,0.777696716,0.094592456,0.262149252,0.332412015,-0.327970113,0.467896917,0.573796297,0.295545428,0.635333312,0.198558456,0.114081206,-2.011134394,0.182733716,0.679994296,0.866731234,0.452425317,0.484995976,-2.074397551,0.336005031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenodeoxycholic acid glycine conjugate,0.706525116,0.435465063,-1.211564384,-0.175035419,0.116152955,0.066553115,0.843936654,2.873730669,0.026893073,0.091890415,0.685589568,0.281483291,-0.072122101,-1.234470761,-0.371171171,-0.299194161,0.899137435,-0.006418384,-0.321662965,0.349829253,0.591326688,0.695208155,-0.566762779,-0.092292289,1.022366169,0.596574728,0.823603985,0.289407795,0.753034902,0.660771444,0.230787122,-0.155572591,0.434924282,-0.006883857,0.626233199,0.264218699,0.503348191,1.017671543,0.303639446,0.326353251,0.794602497,0.241653991,0.429229764,0.879080596,0.42969082,0.716104757,-0.56495726,-0.086513879,-0.895320834,1.1958153,0.648303129,0.465327379,0.599537398,0.702462812,-1.85291182,0.278631732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malondialdehyde,0.321387916,-0.191257959,-2.02235394,0.54140604,0.235362888,0.219940374,0.688733177,-1.924210513,0.22979211,0.213276325,-0.078326535,0.100616884,0.261124069,-2.627826375,-0.169046018,0.697044454,0.355521119,-0.641181232,-0.202078661,0.58603019,-0.664447191,1.618656979,2.529398472,1.036948826,0.467633504,0.202337662,0.154839418,-0.232380449,0.077154478,0.269097771,-0.070460048,0.131756228,0.227122523,0.168324422,0.140789266,1.675083627,-0.120120139,0.288661404,0.294630292,0.333509118,0.109754532,0.601315303,0.476172888,0.580877384,1.731182744,0.49122715,0.245396816,0.770347337,-1.807856122,0.4692344,0.760672644,0.493951275,0.039714313,0.037889044,-1.683650665,-0.188254616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methylpropanoate,-1.434558697,-1.74042424,-1.93402646,-0.148833077,-0.574979884,-1.643462952,-0.793339532,-2.068987061,-0.696360664,-1.580122781,-1.832062138,-1.409854579,-1.910159448,-3.071501692,1.07190206,-1.335421219,-1.669751796,-1.019603923,-1.293197126,-1.661011061,-1.854525886,0.632125406,-0.612999474,0.572528762,-0.345876939,-0.467119622,-0.344656285,-0.868763198,-1.274492273,-1.815753666,-1.771835884,-0.436193094,-0.930394112,-1.084664832,-1.300236771,1.581869613,-1.081258868,-0.422060589,-1.471422296,-0.793615812,-1.958872915,0.289181524,-0.551506431,-2.299953322,0.942622941,-0.621351198,-0.352145249,-0.315570609,-3.392916621,0.168378856,-0.474797625,-0.30257964,-1.420138177,-0.479844208,-1.989226482,-1.216638946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glyceric acid,0.069602906,0.397255082,-2.922913594,0.150602095,0.039040843,0.276139831,0.492693429,-2.429706098,0.533355288,0.482810101,0.300541887,0.550399569,0.445176525,-3.177077951,-0.313630336,0.025942891,0.787217795,0.060893822,0.368081,0.129252557,0.311863773,0.631812561,-1.280487181,0.222335393,0.693791605,-0.132997638,0.398350672,0.062914554,-0.074346804,0.337730518,0.26364813,-0.087153639,0.052874637,0.339180925,0.013993326,0.441590189,-0.165944346,0.678295841,0.245959347,0.408142488,0.378266255,0.33516838,0.663710863,0.783481102,0.446060342,0.728715694,0.092105404,0.677046109,-2.413125703,0.838822271,0.946810109,0.874873526,0.370444352,0.775679459,-2.660582566,0.262211232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha-Ketoisovaleric acid,-0.440369781,-0.634837825,-3.161159353,-0.479134304,0.204052003,-0.43474783,0.619641357,-2.600610298,-0.626106141,0.453828137,1.266431107,0.315971821,0.476615283,-2.515995441,-1.126471044,-0.684709014,0.241237373,-0.560784563,0.097899989,-0.249090066,-0.436506039,-0.347448819,-1.72152982,-0.228017339,0.11908448,-1.241665678,0.164485316,0.952561166,-0.455656052,0.311122811,0.03985825,0.586633226,-1.149472456,-0.123868948,0.123679057,0.434505885,-0.264459316,-1.03003047,-0.372915575,0.832108518,1.094621482,-0.767733256,0.954937172,-1.168699451,0.477413391,0.09973422,-0.728295464,-0.841854764,-2.543930688,-0.616207208,-1.206765236,0.772525533,-0.34629906,-0.133507018,-2.651319848,0.890891207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylsuccinic acid,0.45952056,-0.303639431,-2.256672739,0.852390394,0.498830726,0.567347269,0.155075202,-2.802201728,0.586279196,0.167818114,0.488694788,0.472330738,0.407817374,-3.000703211,-0.187473601,1.22318456,0.922125125,-0.22812643,0.269942518,0.556230397,-0.295482509,0.78592945,-1.542507078,0.87190773,0.566306797,0.57073228,0.564114039,0.651233181,0.734831469,0.778208641,1.167452028,0.067579504,0.185363222,0.291204892,0.403287365,0.693623135,-0.299265567,0.301500076,0.197037399,0.171297211,1.338571679,0.424684915,0.53056892,1.02722362,0.260606675,0.808300077,0.413285461,0.212137452,-2.938264365,0.889089198,0.758370031,0.501482508,0.64910766,-0.374420096,-2.434522633,-0.061659342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxalacetic acid,-0.003091169,-0.168695718,-2.180039697,-0.019154709,-0.255530661,-0.059142946,-0.185539592,-2.830794408,-0.052151658,-0.105835046,-0.368977225,-0.242395038,0.299382274,-2.797157974,-0.655016243,0.112455774,0.04621763,-0.874119815,-0.140977187,-0.1108562,0.239870569,0.050682987,-1.844384088,-0.129221468,0.010080104,-0.211176648,0.077914441,-0.300926111,-0.100695601,0.215437324,-0.039429825,-0.476942718,-0.237922938,0.093938688,-0.223660968,-0.111182013,-0.726208811,0.216264941,-0.244440693,-0.311110942,0.24489149,0.559856118,-0.015869068,0.170676955,-0.312944694,0.132036407,-0.26393447,0.928852684,-2.354633261,1.274367997,0.45705465,0.048362664,0.690542615,-0.153757686,-2.748249609,-0.280317214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxoglutaric acid,0.795373557,-0.452946695,-1.042879136,0.284499493,0.644944906,0.664078774,0.723476876,-0.920859078,0.96942799,0.672802325,0.641385563,1.078353174,0.97818532,-1.317988062,0.478571383,0.382253677,1.112630878,0.395501873,0.777556065,0.725902643,0.581693266,0.527209012,-0.430403552,0.51571662,0.963870422,0.444274707,0.347394614,0.823313543,0.622199867,0.250258071,0.556029138,0.699922571,0.32815766,1.021628518,0.417576911,0.692244669,-0.294333113,1.090621241,0.540554052,-0.228331704,0.979992702,0.935256548,0.788879737,0.812605196,0.776474366,0.787606728,0.777850743,0.708609843,0.156844894,1.161449191,0.891649603,0.973981788,-1.453394626,0.914323949,-1.714571921,0.775283829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Hydroxyglutarate,0.476480074,0.580735615,-1.672025016,0.287030553,0.373688079,0.227153627,0.571375035,1.687041689,0.922244404,0.461729891,0.723443916,0.639993082,0.864138614,-2.159885383,3.349607893,0.734560962,0.706691056,0.5289662,0.395538025,0.401436874,0.341304182,0.688892749,-0.598636197,0.668931814,0.707175573,0.410602484,0.101306984,0.264788739,0.244621602,0.176637582,0.279678777,0.435927819,0.457127713,0.510805376,0.096670894,0.121229258,0.361799764,0.532337656,-2.612174586,0.576449676,0.854464624,0.670206327,0.320857582,0.685477113,0.666381773,0.966818616,0.406128902,0.887207209,-1.489491032,0.698912141,0.820700543,0.683622161,-0.491124665,0.623997097,-2.28051619,0.521018132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fructose,0.512514893,0.041648424,-2.403878208,1.033262862,0.430114732,0.141996396,0.978261167,-1.883878676,0.928283674,0.517582771,0.460854537,0.493809481,0.665545311,-1.952182652,-0.192429316,0.107434268,0.740272579,0.00064438,0.195492043,0.360093101,0.464941754,0.549530689,-1.209267431,0.268042973,0.698857165,0.083643351,0.81939265,0.321809451,0.107386896,0.364962227,0.07032999,0.286685206,0.169460268,0.591870691,0.087956357,0.543179544,0.188388618,0.57544207,0.214193753,0.934502458,0.527440547,0.597010519,0.806050321,0.791155437,0.270371113,0.615033121,0.552715557,0.994148985,-1.915168939,0.840336674,1.095298979,0.755586775,0.734420708,0.563610079,-2.051187743,0.372450821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
