"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
37,"test_full","0.5385","0.2675 - 0.8095","1e-04","0.1068","-0.096 - 0.3096","0.30204"
37,"train_clin","0.4333","0.1389 - 0.7277","0.00391","0.3873","0.2949 - 0.4798","0"
37,"train_full","0.6048","0.3836 - 0.826","0","0.3873","0.2949 - 0.4798","0"
38,"test_clin","-0.1111","-0.4813 - 0.259","0.5563","0.1878","0.0566 - 0.319","0.00502"
38,"test_full","0.7607","0.377 - 1.1444","1e-04","0.1878","0.0566 - 0.319","0.00502"
38,"train_clin","0.2952","0.0027 - 0.5877","0.04789","0.2519","0.1702 - 0.3336","0"
38,"train_full","0.4714","0.2005 - 0.7424","0.00065","0.2519","0.1702 - 0.3336","0"
39,"test_clin","0.1197","-0.2546 - 0.4939","0.5309","0.1963","0.0334 - 0.3593","0.01822"
39,"test_full","0.2906","-0.0887 - 0.6699","0.13318","0.1963","0.0334 - 0.3593","0.01822"
39,"train_clin","0.3762","0.1199 - 0.6325","0.00402","0.3169","0.2232 - 0.4105","0"
39,"train_full","0.4238","0.1675 - 0.6801","0.00119","0.3169","0.2232 - 0.4105","0"
4,"test_clin","-0.0769","-0.5359 - 0.3821","0.74256","0.1586","-0.0229 - 0.34","0.08673"
4,"test_full","0.2906","-0.1445 - 0.7257","0.19053","0.1586","-0.0229 - 0.34","0.08673"
4,"train_clin","0.3762","0.1092 - 0.6431","0.00575","0.3356","0.2403 - 0.4308","0"
4,"train_full","0.4238","0.1462 - 0.7014","0.00277","0.3356","0.2403 - 0.4308","0"
40,"test_clin","0.3419","-0.0324 - 0.7161","0.07339","0.2728","0.1464 - 0.3993","2e-05"
40,"test_full","0.6667","0.2921 - 1.0413","0.00049","0.2728","0.1464 - 0.3993","2e-05"
40,"train_clin","0.281","0.0296 - 0.5324","0.0285","0.2301","0.1458 - 0.3144","0"
40,"train_full","0.3286","0.0739 - 0.5833","0.01145","0.2301","0.1458 - 0.3144","0"
41,"test_clin","0.2308","-0.1479 - 0.6094","0.23228","0.2249","0.0933 - 0.3565","0.00081"
41,"test_full","0.6239","0.2268 - 1.0211","0.00207","0.2249","0.0933 - 0.3565","0.00081"
41,"train_clin","0.2143","-0.0325 - 0.4611","0.08884","0.2197","0.1411 - 0.2983","0"
41,"train_full","0.3619","0.1143 - 0.6095","0.00417","0.2197","0.1411 - 0.2983","0"
42,"test_clin","0.1111","-0.0942 - 0.3164","0.28884","0.2328","0.1185 - 0.3471","7e-05"
42,"test_full","0.9402","0.5214 - 1.3589","1e-05","0.2328","0.1185 - 0.3471","7e-05"
42,"train_clin","0.219","-0.0634 - 0.5015","0.12855","0.2104","0.1382 - 0.2826","0"
42,"train_full","0.4667","0.2137 - 0.7196","3e-04","0.2104","0.1382 - 0.2826","0"
43,"test_clin","0.1795","-0.2433 - 0.6023","0.40541","0.1936","0.0366 - 0.3506","0.01564"
43,"test_full","0.5812","0.257 - 0.9054","0.00044","0.1936","0.0366 - 0.3506","0.01564"
43,"train_clin","0.4238","0.1675 - 0.6801","0.00119","0.2856","0.2034 - 0.3677","0"
