"","i","train_auc","train_sen","test_auc","test_sen"
"14",14,0.618181818181818,"Sens:33.3%
Spec:90.9%
PPV:71.4%
NPV:66.7%
",0.685714285714286,"Sens:60.0%
Spec:81.0%
PPV:69.2%
NPV:73.9%
"
"15",15,0.577272727272727,"Sens:33.3%
Spec:100.0%
PPV:100.0%
NPV:68.8%
",0.725396825396825,"Sens:80.0%
Spec:61.9%
PPV:60.0%
NPV:81.2%
"
"16",16,0.706060606060606,"Sens:73.3%
Spec:63.6%
PPV:57.9%
NPV:77.8%
",0.580952380952381,"Sens:33.3%
Spec:95.2%
PPV:83.3%
NPV:66.7%
"
"17",17,0.739393939393939,"Sens:46.7%
Spec:95.5%
PPV:87.5%
NPV:72.4%
",0.541269841269841,"Sens:26.7%
Spec:100.0%
PPV:100.0%
NPV:65.6%
"
"18",18,0.86969696969697,"Sens:93.3%
Spec:72.7%
PPV:70.0%
NPV:94.1%
",0.444444444444444,"Sens:20.0%
Spec:100.0%
PPV:100.0%
NPV:63.6%
"
"19",19,0.804545454545455,"Sens:60.0%
Spec:95.5%
PPV:90.0%
NPV:77.8%
",0.492063492063492,"Sens:13.3%
Spec:100.0%
PPV:100.0%
NPV:61.8%
"
"20",20,0.722727272727273,"Sens:46.7%
Spec:90.9%
PPV:77.8%
NPV:71.4%
",0.585714285714286,"Sens:33.3%
Spec:90.5%
PPV:71.4%
NPV:65.5%
"
"21",21,0.616666666666667,"Sens:46.7%
Spec:95.5%
PPV:87.5%
NPV:72.4%
",0.677777777777778,"Sens:86.7%
Spec:47.6%
PPV:54.2%
NPV:83.3%
"
"22",22,0.818181818181818,"Sens:80.0%
Spec:68.2%
PPV:63.2%
NPV:83.3%
",0.482539682539682,"Sens:20.0%
Spec:100.0%
PPV:100.0%
NPV:63.6%
"
"23",23,0.665151515151515,"Sens:46.7%
Spec:81.8%
PPV:63.6%
NPV:69.2%
",0.671428571428571,"Sens:40.0%
Spec:100.0%
PPV:100.0%
NPV:70.0%
"
"24",24,0.674242424242424,"Sens:46.7%
Spec:86.4%
PPV:70.0%
NPV:70.4%
",0.633333333333333,"Sens:40.0%
Spec:100.0%
PPV:100.0%
NPV:70.0%
"
"25",25,0.606060606060606,"Sens:33.3%
Spec:95.5%
PPV:83.3%
NPV:67.7%
",0.692063492063492,"Sens:40.0%
Spec:95.2%
PPV:85.7%
NPV:69.0%
"
"26",26,0.73030303030303,"Sens:60.0%
Spec:77.3%
PPV:64.3%
NPV:73.9%
",0.609523809523809,"Sens:33.3%
Spec:95.2%
PPV:83.3%
NPV:66.7%
"
"27",27,0.796969696969697,"Sens:93.3%
Spec:68.2%
PPV:66.7%
NPV:93.8%
",0.517460317460317,"Sens:40.0%
Spec:81.0%
PPV:60.0%
NPV:65.4%
"
"28",28,0.657575757575758,"Sens:33.3%
Spec:95.5%
PPV:83.3%
NPV:67.7%
",0.638095238095238,"Sens:33.3%
Spec:100.0%
PPV:100.0%
NPV:67.7%
"
"29",29,0.71969696969697,"Sens:53.3%
Spec:90.9%
PPV:80.0%
NPV:74.1%
",0.585714285714286,"Sens:53.3%
Spec:66.7%
PPV:53.3%
NPV:66.7%
"
"30",30,0.612121212121212,"Sens:33.3%
Spec:100.0%
PPV:100.0%
NPV:68.8%
",0.707936507936508,"Sens:73.3%
Spec:61.9%
PPV:57.9%
NPV:76.5%
"
"31",31,0.589393939393939,"Sens:26.7%
Spec:95.5%
PPV:80.0%
NPV:65.6%
",0.715873015873016,"Sens:46.7%
Spec:95.2%
PPV:87.5%
NPV:71.4%
"
"32",32,0.666666666666667,"Sens:86.7%
Spec:45.5%
PPV:52.0%
NPV:83.3%
",0.642857142857143,"Sens:40.0%
Spec:100.0%
PPV:100.0%
NPV:70.0%
"
"33",33,0.693939393939394,"Sens:46.7%
Spec:95.5%
PPV:87.5%
NPV:72.4%
",0.646031746031746,"Sens:86.7%
Spec:42.9%
PPV:52.0%
NPV:81.8%
"
"34",34,0.824242424242424,"Sens:60.0%
Spec:100.0%
PPV:100.0%
NPV:78.6%
",0.531746031746032,"Sens:80.0%
Spec:33.3%
PPV:46.2%
NPV:70.0%
"
