"Table S3B:GAM regression between age and metabolites in 209 RA baseline data, 56 IAR and 99 health.",,,,,,,,,,,,,,,,,,,,,
metabolites,RA,,,,,,,IAR,,,,,,,HC,,,,,,
,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear
Myo-Inositol,4.435327325,452.1186944,464.2238153,no,6.23E-05,0.017406907,0.000595101,2.258310619,145.38784,147.0545579,no,0.00290194,0.039250783,0.00152038,1.000286741,230.2685408,230.2678533,yes,0.730473191,0.003247367,0.730121607
Lactose,2.400254088,293.6347207,296.2931051,no,0.065424776,0.004946949,0.12940495,1.000025418,66.45049635,66.45040662,yes,0.220491846,0.007091151,0.220482211,1.575431625,167.0292551,166.6885841,yes,0.33483728,0.007648011,0.264079164
4-Hydroxyphenylpyruvic acid,1.000057882,337.4381644,337.4380015,yes,0.492650638,0.002480198,0.492611671,1.00005481,101.9386966,101.9384876,yes,0.735692773,-0.002665367,0.73562385,1.000098639,187.0244234,187.0240447,yes,0.923702428,-0.000728438,0.923285324
4-Pyridoxic acid,2.145682586,226.6997017,227.6956171,no,0.004126865,0.008768506,0.00150543,1.000053479,95.90040946,95.90024784,yes,0.130552735,0.011424445,0.130538248,1.501664782,162.845997,162.3866014,yes,0.110933663,0.013010887,0.053706293
2-Phosphoglyceric acid,2.46675682,277.6969687,277.9646097,no,0.385871983,-0.001549447,0.61775449,1.715967637,111.3715613,111.0654264,yes,0.628738673,-0.002399987,0.779256341,1.821610877,196.8586555,196.8221597,yes,0.414314108,-0.005887397,0.459494155
Azelaic acid,2.530220801,269.4175969,271.4152081,no,0.015317708,0.007611426,0.01336981,1.00003068,74.76925368,74.76915906,yes,0.249563818,0.007171906,0.24955119,1.245400057,147.8627818,147.5146094,yes,0.342830159,0.007265829,0.242597393
4-Hydroxy-2-quinolinecarboxylic acid,1.674201529,261.2928526,260.9713736,yes,0.132804072,0.005285461,0.076550121,1.000053515,77.73545037,77.73526818,yes,0.102165614,0.0105202,0.102153287,1.000021251,129.1053478,129.1052756,yes,0.096220112,0.009459548,0.096215407
Glucuronic acid,2.26125059,209.6026988,210.9397583,no,0.045569654,0.005412743,0.039621008,1.000039488,66.41275992,66.4126235,yes,0.31982702,0.005742026,0.319807739,1.000046089,135.5856702,135.5855155,yes,0.485283319,0.004076386,0.485252673
Indoxyl sulfate,2.391659816,285.375099,286.7875521,no,0.001581039,0.010995558,0.000619311,1.00005586,83.48456765,83.48436197,yes,0.020688238,0.015875911,0.020684259,1.000056148,152.117296,152.1170751,yes,0.428308876,-0.005031749,0.42827524
Pantothenic acid,1.168810128,199.5836018,199.3122184,yes,0.000773323,0.009352894,0.000294225,1.000051449,72.77265444,72.7724831,yes,0.055921705,0.011825697,0.055913922,1.350669519,136.3311327,135.9043178,yes,0.150714528,0.010163342,0.084353193
Cystathionine,1.442145915,455.8057022,455.3950035,yes,0.707394495,0.001621534,0.739444152,1.000084683,111.4172873,111.4170007,yes,0.004997994,0.02501824,0.004996117,1.000131623,230.6561131,230.6556968,yes,0.576542154,0.005271385,0.576436349
3-Nitrotyrosine,2.666847069,234.070242,238.3147809,no,0.010180144,0.006332392,0.024923417,1.0000446,71.70761002,71.70744534,yes,0.42146843,0.004856843,0.421441845,1.000032805,144.0363413,144.0362227,yes,0.211962262,0.007630068,0.211950106
Myristic acid,2.331932593,350.426172,351.7107245,no,0.215972985,0.003830159,0.307259596,1.000040293,89.29441154,89.29426331,yes,0.382755669,0.006173338,0.382733267,1.000356791,153.6710706,153.6702134,yes,0.066386707,0.011839692,0.066325052
Ribose 5-phosphate,1.839213262,339.3740007,339.238794,yes,0.097713567,0.007077753,0.052283889,1.000076143,125.1437796,125.1435137,yes,0.200653994,0.012516784,0.200626527,1.00438819,169.250035,169.2414787,yes,0.916060412,-0.000879621,0.898777022
Biotin,2.259135858,253.3125225,253.3341274,no,0.094147631,0.005893201,0.044306977,1.000043609,107.0859866,107.0858495,yes,0.517337445,-0.005359267,0.517306387,1.000073638,177.3921752,177.3919437,yes,0.593247875,-0.003852034,0.593186497
Fructose 6-phosphate,1.000130536,372.4086737,372.4081762,yes,0.580177667,0.002181896,0.580072558,1.000014256,124.7371601,124.737111,yes,0.513854471,0.00632623,0.513844444,1.000074902,322.4295993,322.4293099,yes,0.65848227,-0.006630144,0.658408712
Glucose 6-phosphate,1.718578018,349.9427622,349.5659463,yes,0.320854113,0.00456422,0.220643462,1.000222587,119.7053896,119.7048356,yes,0.458618366,0.006872061,0.458477188,1.000147567,274.9265554,274.9259895,yes,0.567510686,-0.006749327,0.567394158
Heptadecanoic acid,3.911709635,237.2222596,249.0205826,no,0.000737409,0.006746413,0.02014051,1.000055089,78.76722814,78.76704091,yes,0.776845457,0.001819611,0.776764163,1.000143292,141.9065573,141.9061511,yes,0.192125992,0.007891477,0.192075834
Linolenate,2.65085184,229.9658945,234.9335809,no,0.036937838,0.003185586,0.252847802,1.000263079,99.26387963,99.26334088,yes,0.909426559,0.000885571,0.908483335,1.00023374,149.8252351,149.8246362,yes,0.236029408,0.007456826,0.235936289
Alpha-Linolenic acid,3.286024866,242.9685323,252.5534576,no,0.001337843,0.006973027,0.017340328,1.000032888,84.79461243,84.79449337,yes,0.31172173,0.006881492,0.311706014,1.000135205,149.3581347,149.3577807,yes,0.18005242,0.008424062,0.180007151
Xanthosine,1.019507525,484.8480484,484.8126526,yes,0.383839883,0.00468926,0.37324741,1.000073545,115.5707353,115.5704719,yes,0.583863423,0.004888487,0.583803011,1.821462081,180.4694239,179.9978325,yes,0.156089728,0.013485421,0.067078842
Argininosuccinic acid,1.000051949,419.2264087,419.22672,yes,0.018705017,0.010540518,0.018702046,1.000079729,122.7370528,122.7368351,yes,0.444487436,0.00728435,0.444438117,1.000106911,166.4781616,166.4777998,yes,0.886108132,0.000979331,0.885804463
13-HODE,2.300244728,321.5803449,323.0452252,no,0.127160833,0.004668153,0.181066841,1.000053081,76.89322886,76.89303225,yes,0.109106365,0.010230528,0.109093501,1.00007889,159.469367,159.4691368,yes,0.24203769,0.007727797,0.242005859
Arachidonic acid,2.339281627,206.45916,207.2771072,no,0.017621574,0.006838639,0.008916436,1.000035975,71.64263393,71.64251067,yes,0.078375942,0.010751139,0.078369005,1.171493976,156.477504,156.205039,yes,0.200957508,0.009377577,0.14966443
dCMP,2.846270146,486.8146075,489.5596465,no,0.159174977,0.00263274,0.621133682,1.660190303,149.7572036,149.5428498,yes,0.470963315,0.007725093,0.522890624,1.000127888,289.1902198,289.1898017,yes,0.386645286,-0.010993805,0.386574416
Glutathione,1.000122586,622.0070105,622.0069501,yes,0.264891676,-0.008337871,0.264837512,1.000238517,182.6432341,182.6425572,yes,0.516933641,-0.010535392,0.51676389,1.000268388,320.5897413,320.5889363,yes,0.061070339,-0.028073716,0.061026466
N-Acetylneuraminic acid,1.000251503,243.7237442,243.7230746,yes,0.709329246,0.001061502,0.709043413,1.000038248,74.68224409,74.68211242,yes,0.036224848,0.013224532,0.036220727,1.000042529,132.5106589,132.5105126,yes,0.120934005,0.00896394,0.120922972
12-HETE,2.389849632,239.9818398,241.5351659,no,0.006662785,0.00817972,0.004219242,1.000042165,75.55116219,75.55100909,yes,0.042749477,0.012876168,0.042744269,1.000068484,205.4817578,205.4815024,yes,0.466298301,0.006058095,0.466254215
5-Thymidylic acid,2.633891819,446.5114638,453.1506467,no,0.027493241,0.004375878,0.367709481,1.000051751,96.28080763,96.28062096,yes,0.362648184,0.006855204,0.362620618,2.362756624,225.6533565,227.4863866,no,0.224503025,0.00459113,0.620989097
Cytidine monophosphate,1.000120939,500.1941906,500.1937268,yes,0.059586671,0.010326991,0.059566889,1.995041789,153.3131488,153.8569453,no,0.419709051,0.001994269,0.873680153,1.000326591,282.2921023,282.2912736,yes,0.74769133,0.003944931,0.747264934
"Glucose 1,6-bisphosphate",1.000229569,290.4347907,290.434,yes,0.030750357,0.006949774,0.030724238,1.000052823,98.45761484,98.45744676,yes,0.317514318,0.007681103,0.31748874,1.604452714,168.1324838,167.7772374,yes,0.565680523,0.003356789,0.625009253
"Fructose 1,6-bisphosphate",2.522739153,283.9422552,286.4446114,no,0.027272422,0.006681864,0.036198705,1.000052754,101.069608,101.0694593,yes,0.491239731,0.005401109,0.491203911,1.000097136,181.4759857,181.475628,yes,0.855027486,0.001346033,0.854809866
Alpha-Lactose,1.000025059,354.9639039,354.9643488,yes,0.263997113,0.004226472,0.263984774,1.000285988,102.0662311,102.0656587,yes,0.122753615,0.012329175,0.122679643,1.000134575,204.9691332,204.9686576,yes,0.791111282,0.002196291,0.790900239
Sucrose,1.000097309,368.1975432,368.1971914,yes,0.338205697,0.003746897,0.338156475,1.105393117,104.2169661,104.0369914,yes,0.220674361,0.010747258,0.184848917,1.217994032,203.0419482,202.719172,yes,0.803491556,0.003212328,0.694949967
"3',5'-Cyclic GMP",1.000272799,519.8469994,519.8460974,yes,0.042504752,0.011713541,0.042471039,1.000053127,133.8116824,133.8114934,yes,0.332625362,0.010205308,0.332598789,1.00013334,292.7304328,292.7299574,yes,0.955806607,0.000730829,0.954825751
Gibberellin A3,2.617435198,362.7947066,366.295056,no,0.01017725,0.009009426,0.021384723,1.391444103,98.76113737,98.33243217,yes,0.271611063,0.010694974,0.165324299,1.000124817,272.5021218,272.5017407,yes,0.444380482,0.00892379,0.444303434
Adenosine monophosphate,1.000326908,501.9303932,501.9294276,yes,0.47805109,-0.003897289,0.477833717,1.484961619,168.7248356,168.2828821,yes,0.640709873,0.008452316,0.554186552,1.000248231,258.1736489,258.1729187,yes,0.30579492,-0.011128921,0.305677928
Inosinic acid,1.000491317,422.6080657,422.6068966,yes,0.184424076,0.005968187,0.184262797,1.998950053,148.8108497,148.9515984,no,0.307041634,0.013776006,0.254041476,1.000020087,198.4164105,198.4163388,yes,0.409870069,0.006614958,0.409858599
Prostaglandin E2,2.268729572,258.0863009,259.5063346,no,0.018749512,0.007369159,0.013549954,1.000021981,71.67112033,71.67104332,yes,0.131569785,0.009177037,0.131563842,2.685186535,290.6935792,294.3792736,no,0.074972551,0.01456895,0.264295368
Orotidylic acid,1.000150191,357.2788044,357.2782923,yes,0.540510516,0.002323906,0.540395607,1.000051149,129.0027144,129.0025151,yes,0.617914327,0.005017562,0.617868802,1.000098849,279.1442499,279.14393,yes,0.29359482,-0.01268854,0.293549433
S-Adenosylhomocysteine,3.259903626,282.8081841,289.6668456,no,0.0002828,0.010975222,0.00072179,1.000051125,67.61990874,67.61973668,yes,0.045486591,0.01183602,0.045479964,1.000127559,123.853869,123.8535283,yes,0.273769307,0.006036682,0.273713467
Uridine 5'-diphosphate,1.000069806,440.4056365,440.4070246,yes,0.243331994,0.005485111,0.243230208,1.000102685,155.7572181,155.7569355,yes,0.629410481,0.006164268,0.629316606,1.000433025,300.085428,300.0842298,yes,0.998105306,0.000119925,0.992853654
Adenosine 5'-diphosphate,1.000202427,485.7570563,485.7575609,yes,0.901424896,-0.000657827,0.90073393,1.000288352,137.094555,137.0939723,yes,0.469714571,0.00782927,0.469528126,1.000081758,146.7214282,146.7211119,yes,0.875047745,-0.00097215,0.874835765
Folic acid,1.00020229,656.5829105,656.5853087,yes,0.024390295,0.018470879,0.024364341,2.091151475,184.6843341,185.7299655,no,0.338086373,0.001116645,0.946598291,1.00021057,334.6718281,334.6712315,yes,0.667907796,0.006848638,0.667695596
Guanosine 5'-diphosphate,1.000097213,360.9094704,360.9094124,yes,0.36829932,0.003454475,0.36824798,1.000161094,125.2088046,125.2084253,yes,0.074163718,0.017603892,0.074134042,1.000130388,163.1866668,163.186234,yes,0.181420935,0.009004838,0.181376889
5-Methyltetrahydrofolic acid,1.873605629,667.64523,667.8245537,no,0.035903661,0.01971263,0.019668779,1.000054874,198.3266286,198.3264164,yes,0.222093631,0.022938596,0.22207247,1.000126273,338.1666708,338.1661908,yes,0.351123466,0.015168211,0.351058005
Glycocholic acid,1.883838074,330.8107821,330.8892818,no,0.306831903,0.003628083,0.307783331,1.000065039,88.6032326,88.60300487,yes,0.327996984,0.006882129,0.32796478,1.000087887,157.1727932,157.172496,yes,0.477932618,0.004623307,0.477874831
Adenosine 5'-triphosphate,1.252614527,396.0956068,395.7376392,yes,0.235538493,0.00597028,0.155054008,1.027132848,150.9180069,150.8671983,yes,0.570558538,0.007335366,0.548727041,1.000108898,298.8830873,298.8827104,yes,0.960382767,0.000675998,0.959489129
Taurocholic acid,1.000071721,455.8154596,455.8160477,yes,0.238690651,0.005767746,0.238650476,1.000087635,115.110127,115.1098924,yes,0.444467438,0.006805189,0.44441325,1.000128524,228.0004127,227.9999697,yes,0.648317797,0.004247241,0.648194894
Oxidized glutathione,1.000029756,426.9685099,426.9690936,yes,0.686453833,0.00183299,0.686417105,2.465770558,169.6504632,170.9266893,no,0.213133425,0.018121768,0.218008999,1.00013273,337.1298418,337.1293921,yes,0.429156911,0.012787021,0.429077195
NAD,2.047231144,651.4335893,652.0521233,no,0.228611775,-0.008883707,0.27115057,1.00005874,206.2929292,206.2927013,yes,0.930204736,0.00176138,0.92993239,1.000084628,292.9231508,292.922833,yes,0.613126361,0.006535077,0.61305234
Lactic acid,1.595174979,296.1218736,295.6652667,yes,0.158940293,0.005615804,0.084934512,1.000142145,148.5929103,148.5924624,yes,0.073621122,0.021732968,0.073594799,1.000048894,120.6554164,120.6552364,yes,0.364816151,0.004913411,0.364790239
Fumarate,1.000120889,358.350854,358.3510656,yes,0.121538829,0.00591869,0.121504639,1.000041518,85.39118629,85.39103902,yes,0.50353252,0.00456262,0.503503616,1.000071082,117.3410602,117.3408104,yes,0.516251765,0.003457719,0.516201387
Citraconic acid,2.294983005,209.2184442,210.350949,no,0.067611786,0.004974597,0.058020799,1.000054383,84.53971846,84.53954332,yes,0.614311574,0.003408239,0.614263512,1.000046503,127.6316237,127.631473,yes,0.464973069,0.00410071,0.464943305
Allantoin,2.17165868,233.0610812,234.340388,no,0.089415553,0.004558038,0.101910057,1.000023679,69.79137732,69.79129741,yes,0.408648409,0.004908185,0.408634774,1.669180188,140.6408864,140.4242883,yes,0.346665671,0.005949041,0.320900975
Aconitic acid,1.681671697,272.9261468,272.6055245,yes,0.183180895,0.00484797,0.114499079,1.000037455,88.44370746,88.44358826,yes,0.455369543,0.005234854,0.455345897,1.000047181,130.8763513,130.8761892,yes,0.388092027,0.004926427,0.38806591
Citric acid,1.505496831,330.6361353,330.1970808,yes,0.174925879,0.005894186,0.097688734,1.000052269,62.93357089,62.93338841,yes,0.175041704,0.007618667,0.17502444,1.000083325,151.370681,151.3704474,yes,0.89020753,-0.000874133,0.889962051
Chenodeoxycholic acid glycine conjugate,1.746029607,430.6246284,430.4556343,yes,0.070046917,0.009543433,0.038247273,1.000005174,93.57926907,93.57925132,yes,0.810418993,0.001757042,0.810409747,1.000157432,276.9997531,276.999322,yes,0.171010107,0.016393821,0.170958941
Malondialdehyde,2.510020372,234.9738083,238.0776184,no,0.021890764,0.005797533,0.039729172,1.000055289,86.56111615,86.56092463,yes,0.556023805,0.004056131,0.555981015,1.000069307,237.4628403,237.4625838,yes,0.718958397,-0.003514032,0.718876609
