,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta25,meta25,1.000111393,0.614977339,115.899547,115.8992323,0.004501674,0.008895657,0.614879223,Phenylpyruvate,1,1,1
meta26,meta26,1.000039843,0.145104654,116.353243,116.3531051,0.013205326,0.008931779,0.14509301,Phosphoenolpyruvic acid,1,1,1
meta27,meta27,1.000143733,0.809077596,113.5412805,113.5408858,0.002117678,0.008710303,0.808831039,Homogentisic acid,1,1,1
meta28,meta28,1.000186803,0.683031764,154.4140686,154.4135572,-0.00515428,0.012546492,0.682834318,Uric acid,1,1,1
meta29,meta29,1.000048638,0.805075856,137.5868778,137.5867175,0.002678615,0.010796278,0.804993921,Dihydroxyacetone phosphate,1,1,1
meta30,meta30,1.000055415,0.296385693,120.2670445,120.2668536,-0.009753289,0.00924941,0.296359967,Glyceraldehyde 3-phosphate,1,1,1
meta31,meta31,1.000053676,0.222018263,111.6118184,111.6116137,0.010577677,0.008561547,0.221997583,Shikimic acid,1,1,1
meta32,meta32,1.000036629,0.25806315,131.9881383,131.9880069,0.011739272,0.010269856,0.258047719,Citrulline,1,1,1
meta33,meta33,1.389731243,0.03069144,93.51771313,93.08639409,0.018665046,0.007256351,0.012887918,Hippuric acid,1,1,1
meta34,meta34,2.258310619,0.00290194,145.38784,147.0545579,0.039250783,0.011748619,0.00152038,Myo-Inositol,,0,0
meta35,meta35,1.000025418,0.220491846,66.45049635,66.45040662,0.007091151,0.005720498,0.220482211,Lactose,1,1,1
meta36,meta36,1.00005481,0.735692773,101.9386966,101.9384876,-0.002665367,0.007853142,0.73562385,4-Hydroxyphenylpyruvic acid,1,1,1
meta37,meta37,1.000053479,0.130552735,95.90040946,95.90024784,0.011424445,0.007440967,0.130538248,4-Pyridoxic acid,1,1,1
meta38,meta38,1.715967637,0.628738673,111.3715613,111.0654264,-0.002399987,0.008519897,0.779256341,2-Phosphoglyceric acid,,1,1
meta39,meta39,1.00003068,0.249563818,74.76925368,74.76915906,0.007171906,0.006161562,0.24955119,Azelaic acid,1,1,1
meta40,meta40,1.000053515,0.102165614,77.73545037,77.73526818,0.0105202,0.00632692,0.102153287,4-Hydroxy-2-quinolinecarboxylic acid,1,1,1
meta41,meta41,1.000039488,0.31982702,66.41275992,66.4126235,0.005742026,0.005718568,0.319807739,Glucuronic acid,1,1,1
meta42,meta42,1.00005586,0.020688238,83.48456765,83.48436197,0.015875911,0.006660168,0.020684259,Indoxyl sulfate,1,1,1
meta43,meta43,1.000051449,0.055921705,72.77265444,72.7724831,0.011825697,0.006052691,0.055913922,Pantothenic acid,1,1,1
meta44,meta44,1.000084683,0.004997994,111.4172873,111.4170007,0.02501824,0.008546683,0.004996117,Cystathionine,1,1,1
meta45,meta45,1.0000446,0.42146843,71.70761002,71.70744534,0.004856843,0.005995407,0.421441845,3-Nitrotyrosine,1,1,1
meta46,meta46,1.000040293,0.382755669,89.29441154,89.29426331,0.006173338,0.007014776,0.382733267,Myristic acid,1,1,1
meta47,meta47,1.000076143,0.200653994,125.1437796,125.1435137,0.012516784,0.009661041,0.200626527,Ribose 5-phosphate,1,1,1
meta48,meta48,1.000043609,0.517337445,107.0859866,107.0858495,-0.005359267,0.008222483,0.517306387,Biotin,1,1,1
meta49,meta49,1.000014256,0.513854471,124.7371601,124.737111,0.00632623,0.009626049,0.513844444,Fructose 6-phosphate,1,1,1
meta50,meta50,1.000222587,0.458618366,119.7053896,119.7048356,0.006872061,0.009203113,0.458477188,Glucose 6-phosphate,1,1,1
meta51,meta51,1.000055089,0.776845457,78.76722814,78.76704091,0.001819611,0.006385474,0.776764163,Heptadecanoic acid,1,1,1
meta52,meta52,1.000263079,0.909426559,99.26387963,99.26334088,0.000885571,0.00766779,0.908483335,Linolenate,1,1,1
meta53,meta53,1.000032888,0.31172173,84.79461243,84.79449337,0.006881492,0.006738533,0.311706014,Alpha-Linolenic acid,1,1,1
meta54,meta54,1.000073545,0.583863423,115.5707353,115.5704719,0.004888487,0.008869583,0.583803011,Xanthosine,1,1,1
meta55,meta55,1.000079729,0.444487436,122.7370528,122.7368351,0.00728435,0.009455657,0.444438117,Argininosuccinic acid,1,1,1
meta56,meta56,1.000053081,0.109106365,76.89322886,76.89303225,0.010230528,0.00627952,0.109093501,13-HODE,1,1,1
meta57,meta57,1.000035975,0.078375942,71.64263393,71.64251067,0.010751139,0.005991932,0.078369005,Arachidonic acid,1,1,1
meta58,meta58,1.660190303,0.470963315,149.7572036,149.5428498,0.007725093,0.012012558,0.522890624,dCMP,,1,1
meta59,meta59,1.000238517,0.516933641,182.6432341,182.6425572,-0.010535392,0.016142987,0.51676389,Glutathione,1,1,1
meta60,meta60,1.000038248,0.036224848,74.68224409,74.68211242,0.013224532,0.006156776,0.036220727,N-Acetylneuraminic acid,1,1,1
meta61,meta61,1.000042165,0.042749477,75.55116219,75.55100909,0.012876168,0.006204726,0.042744269,12-HETE,1,1,1
meta62,meta62,1.000051751,0.362648184,96.28080763,96.28062096,0.006855204,0.007466281,0.362620618,5-Thymidylic acid,1,1,1
meta63,meta63,1.995041789,0.419709051,153.3131488,153.8569453,0.001994269,0.012484294,0.873680153,Cytidine monophosphate,,0,0
meta64,meta64,1.000052823,0.317514318,98.45761484,98.45744676,0.007681103,0.007612815,0.31748874,"Glucose 1,6-bisphosphate",1,1,1
meta65,meta65,1.000052754,0.491239731,101.069608,101.0694593,0.005401109,0.007792444,0.491203911,"Fructose 1,6-bisphosphate",1,1,1
meta66,meta66,1.000285988,0.122753615,102.0662311,102.0656587,0.012329175,0.007862064,0.122679643,Alpha-Lactose,1,1,1
meta67,meta67,1.105393117,0.220674361,104.2169661,104.0369914,0.010747258,0.00800167,0.184848917,Sucrose,1,1,1
meta68,meta68,1.000053127,0.332625362,133.8116824,133.8114934,0.010205308,0.010438429,0.332598789,"3',5'-Cyclic GMP",1,1,1
meta69,meta69,1.391444103,0.271611063,98.76113737,98.33243217,0.010694974,0.007604322,0.165324299,Gibberellin A3,1,1,1
meta70,meta70,1.484961619,0.640709873,168.7248356,168.2828821,0.008452316,0.01420046,0.554186552,Adenosine monophosphate,1,1,1
meta71,meta71,1.998950053,0.307041634,148.8108497,148.9515984,0.013776006,0.011949311,0.254041476,Inosinic acid,,0,0
meta72,meta72,1.000021981,0.131569785,71.67112033,71.67104332,0.009177037,0.005993459,0.131563842,Prostaglandin E2,1,1,1
meta73,meta73,1.000051149,0.617914327,129.0027144,129.0025151,0.005017562,0.009999717,0.617868802,Orotidylic acid,1,1,1
meta74,meta74,1.000051125,0.045486591,67.61990874,67.61973668,0.01183602,0.005780535,0.045479964,S-Adenosylhomocysteine,1,1,1
meta75,meta75,1.000102685,0.629410481,155.7572181,155.7569355,0.006164268,0.012697886,0.629316606,Uridine 5'-diphosphate,1,1,1
meta76,meta76,1.000288352,0.469714571,137.094555,137.0939723,0.00782927,0.010748884,0.469528126,Adenosine 5'-diphosphate,1,1,1
meta77,meta77,2.091151475,0.338086373,184.6843341,185.7299655,0.001116645,0.016594178,0.946598291,Folic acid,,0,0
meta78,meta78,1.000161094,0.074163718,125.2088046,125.2084253,0.017603892,0.009666642,0.074134042,Guanosine 5'-diphosphate,1,1,1
meta79,meta79,1.000054874,0.222093631,198.3266286,198.3264164,0.022938596,0.018569495,0.22207247,5-Methyltetrahydrofolic acid,1,1,1
meta80,meta80,1.000065039,0.327996984,88.6032326,88.60300487,0.006882129,0.006971615,0.32796478,Glycocholic acid,1,1,1
meta81,meta81,1.027132848,0.570558538,150.9180069,150.8671983,0.007335366,0.012155444,0.548727041,Adenosine 5'-triphosphate,1,1,1
meta82,meta82,1.000087635,0.444467438,115.110127,115.1098924,0.006805189,0.008833184,0.44441325,Taurocholic acid,1,1,1
meta83,meta83,2.465770558,0.213133425,169.6504632,170.9266893,0.018121768,0.014539655,0.218008999,Oxidized glutathione,,0,0
meta84,meta84,1.00005874,0.930204736,206.2929292,206.2927013,0.00176138,0.019938404,0.92993239,NAD,1,1,1
meta85,meta85,1.000142145,0.073621122,148.5929103,148.5924624,0.021732968,0.011911056,0.073594799,Lactic acid,1,1,1
meta86,meta86,1.000041518,0.50353252,85.39118629,85.39103902,0.00456262,0.006774521,0.503503616,Fumarate,1,1,1
meta87,meta87,1.000054383,0.614311574,84.53971846,84.53954332,0.003408239,0.006723212,0.614263512,Citraconic acid,1,1,1
meta88,meta88,1.000023679,0.408648409,69.79137732,69.79129741,0.004908185,0.005893707,0.408634774,Allantoin,1,1,1
meta89,meta89,1.000037455,0.455369543,88.44370746,88.44358826,0.005234854,0.006961699,0.455345897,Aconitic acid,1,1,1
meta90,meta90,1.000052269,0.175041704,62.93357089,62.93338841,0.007618667,0.005543654,0.17502444,Citric acid,1,1,1
meta91,meta91,1.000005174,0.810418993,93.57926907,93.57925132,0.001757042,0.007288353,0.810409747,Chenodeoxycholic acid glycine conjugate,1,1,1
meta92,meta92,1.000055289,0.556023805,86.56111615,86.56092463,0.004056131,0.006845654,0.555981015,Malondialdehyde,1,1,1
meta93,meta93,1.000055119,0.977970207,136.1070052,136.1068253,-0.000306704,0.010654562,0.977141233,2-Methylpropanoate,1,1,1
meta94,meta94,1.000046282,0.363645832,68.05887802,68.05871504,0.005317087,0.005803236,0.363621138,Glyceric acid,1,1,1
meta95,meta95,1.4294346,0.78529901,101.5953199,101.1699183,0.000363521,0.007799436,0.962997129,Alpha-Ketoisovaleric acid,1,1,1
meta96,meta96,1.000019957,0.066477484,64.27759385,64.27751942,0.010509084,0.005610585,0.066474091,Methylsuccinic acid,1,1,1
meta97,meta97,1.000050079,0.130032965,69.36734463,69.36719105,0.009027108,0.005871432,0.130019436,Oxalacetic acid,1,1,1
meta98,meta98,1.000054013,0.277656736,97.69331488,97.69311323,0.008292308,0.007561039,0.277632608,Oxoglutaric acid,1,1,1
meta99,meta99,1.000048127,0.219432524,101.6122414,101.6120564,0.009729274,0.007830287,0.219414147,2-Hydroxyglutarate,1,1,1
meta100,meta100,1.000026522,0.075821919,61.17919849,61.17911166,0.009879634,0.005457499,0.075816938,Fructose,1,1,1
meta101,meta101,1.427877536,0.05754802,120.8654507,120.441457,0.021181215,0.009263841,0.026176059,Glucose 1-phosphate,1,1,1
meta102,meta102,1.000057324,0.449210045,138.6921033,138.6919049,0.008312057,0.01090334,0.449174031,Geranyl-PP,1,1,1
meta103,meta103,1.000034644,0.154572715,74.81233783,74.81221909,0.008899704,0.006163932,0.15456221,Adenylsuccinic acid,1,1,1
meta104,meta104,1.060581818,0.286300619,118.3434687,118.2344324,0.010328238,0.009083079,0.260523118,Glycerol 3-phosphate,1,1,1
meta105,meta105,1.00004912,0.083009765,106.4066063,106.4064294,0.014435429,0.008172755,0.082999988,Glyceraldehyde,1,1,1
meta106,meta106,1.000054808,0.002731229,115.7290576,115.7288582,0.027900054,0.008882135,0.002729983,Pyruvic acid,1,1,1
meta107,meta107,1.000053222,0.833827437,129.6590841,129.6588738,0.002121808,0.010058491,0.833722715,Methyl-3-methyl-2-oxopentanoate,1,1,1
meta108,meta108,1.000040205,0.350715233,143.8851887,143.8850442,0.010751499,0.011420803,0.350694421,Isocitric acid,1,1,1
meta109,meta109,1.000049156,0.077506197,84.52907677,84.52893513,0.012098572,0.006722575,0.077496835,Homovanillic acid,1,1,1
meta110,meta110,1.213179409,0.406605297,174.9250652,174.6121002,0.015635172,0.015026048,0.302726613,Trimethylamine,1,1,1
meta111,meta111,1.115946299,0.313230056,150.1809588,149.9861127,0.01366206,0.012060195,0.262293674,Glycine,1,1,1
