,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta164,meta164,1.727823248,0.301894074,429.078837,428.9389025,0.005000504,0.004543717,0.27248478,Kynurenine,0,1,1
meta165,meta165,1.894090552,0.456903459,745.2535798,745.3899516,-0.003424842,0.010214064,0.737758063,3-Hydroxy-kynurenin,0,0,0
meta166,meta166,1.000092081,0.998936297,710.6140164,710.6140399,-4.29E-05,0.009346993,0.9963458,Melatonin,1,0,1
meta167,meta167,1.691389476,0.560820721,417.4305993,417.1456579,0.00166038,0.004409353,0.706919212,Cystine,0,1,1
meta168,meta168,1.475980353,0.288880261,498.737884,498.2875419,0.007306271,0.005437972,0.180666458,Cytidine,1,1,1
meta169,meta169,1.000112001,0.268020332,713.3963941,713.3965272,0.01045797,0.009413575,0.267973833,N1-Acetylspermine,1,0,1
meta170,meta170,1.000052982,0.485090468,460.6577962,460.6569964,0.003450944,0.004932366,0.484990486,Uridine,1,1,1
meta171,meta171,2.612883186,0.228320205,751.4712401,753.7376404,0.006098613,0.010409813,0.558664673,Adenosine,0,0,0
meta172,meta172,2.3431651,0.123456645,641.8898994,644.6264243,-0.006291036,0.007898861,0.426749985,Inosine,0,0,0
meta173,meta173,1.002387012,0.345370883,653.5258732,653.5199381,-0.007662351,0.00808012,0.344164345,6-Methyladenosine,1,1,1
meta174,meta174,2.395321261,0.1245302,785.4415067,788.7758309,0.002443509,0.011393994,0.830418739,Guanosine monophosphate,0,0,0
meta175,meta175,1.000010334,0.690370193,537.3138835,537.3134893,0.002396669,0.006007218,0.690360139,S-Adenosylmethionine,1,1,1
meta176,meta176,1.000176734,0.848275189,481.8841155,481.883119,0.000999724,0.005205227,0.847897135,Alpha-Tocopherol,1,1,1
meta177,meta177,1.000404131,0.497150224,699.0829045,699.0814295,-0.006163247,0.009054046,0.496873022,Bilirubin,1,1,1
meta178,meta178,1.719967469,0.482275613,507.0285841,506.6796066,-0.004385414,0.005555634,0.430868314,1-Methyladenosine,0,1,1
meta179,meta179,2.474667994,0.118211281,477.2692332,480.5745063,0.002885978,0.005190665,0.57886124,Serotonin,0,0,0
meta180,meta180,1.649926033,0.398702817,453.7655138,453.5115657,0.004248675,0.004839871,0.381125928,Xanthurenic acid,0,1,1
meta181,meta181,1.840485897,0.285788624,472.6799953,472.7395718,0.005439358,0.005080039,0.285641379,4-Trimethylammoniobutanoic acid,0,0,0
meta182,meta182,1.000060795,0.900348207,483.1320298,483.130991,-0.000657308,0.005231728,0.900148629,Epinephrine,1,1,1
meta183,meta183,1.649388198,0.575430538,827.0143798,826.7278862,0.001698656,0.012569332,0.892639735,Indolepyruvate,0,1,1
meta184,meta184,1.565430542,0.484625739,473.1505654,472.7454324,0.004014504,0.005094934,0.431698262,1-Methylguanosine,0,1,1
meta185,meta185,1.875232307,0.461093463,811.9651117,812.1259815,0.000312605,0.012109769,0.979432116,Normetanephrine,0,0,0
