,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta41,meta41,1.000046089,0.485283319,135.5856702,135.5855155,0.004076386,0.005818727,0.485252673,Glucuronic acid,1,1,1
meta42,meta42,1.000056148,0.428308876,152.117296,152.1170751,-0.005031749,0.006325406,0.42827524,Indoxyl sulfate,1,1,1
meta43,meta43,1.350669519,0.150714528,136.3311327,135.9043178,0.010163342,0.005828103,0.084353193,Pantothenic acid,1,1,1
meta44,meta44,1.000131623,0.576542154,230.6561131,230.6556968,0.005271385,0.009404929,0.576436349,Cystathionine,1,1,1
meta45,meta45,1.000032805,0.211962262,144.0363413,144.0362227,0.007630068,0.006072448,0.211950106,3-Nitrotyrosine,1,1,1
meta46,meta46,1.000356791,0.066386707,153.6710706,153.6702134,0.011839692,0.006375218,0.066325052,Myristic acid,1,1,1
meta47,meta47,1.00438819,0.916060412,169.250035,169.2414787,-0.000879621,0.006896824,0.898777022,Ribose 5-phosphate,1,1,1
meta48,meta48,1.000073638,0.593247875,177.3921752,177.3919437,-0.003852034,0.007186649,0.593186497,Biotin,1,1,1
meta49,meta49,1.000074902,0.65848227,322.4295993,322.4293099,-0.006630144,0.014950384,0.658408712,Fructose 6-phosphate,1,1,1
meta50,meta50,1.000147567,0.567510686,274.9265554,274.9259895,-0.006749327,0.011761379,0.567394158,Glucose 6-phosphate,1,1,1
meta51,meta51,1.000143292,0.192125992,141.9065573,141.9061511,0.007891477,0.006007471,0.192075834,Heptadecanoic acid,1,1,1
meta52,meta52,1.00023374,0.236029408,149.8252351,149.8246362,0.007456826,0.006252593,0.235936289,Linolenate,1,1,1
meta53,meta53,1.000135205,0.18005242,149.3581347,149.3577807,0.008424062,0.006237867,0.180007151,Alpha-Linolenic acid,1,1,1
meta54,meta54,1.821462081,0.156089728,180.4694239,179.9978325,0.013485421,0.007281858,0.067078842,Xanthosine,0,1,1
meta55,meta55,1.000106911,0.886108132,166.4781616,166.4777998,0.000979331,0.006801227,0.885804463,Argininosuccinic acid,1,1,1
meta56,meta56,1.00007889,0.24203769,159.469367,159.4691368,0.007727797,0.006564693,0.242005859,13-HODE,1,1,1
meta57,meta57,1.171493976,0.200957508,156.477504,156.205039,0.009377577,0.006457359,0.14966443,Arachidonic acid,1,1,1
meta58,meta58,1.000127888,0.386645286,289.1902198,289.1898017,-0.010993805,0.012639928,0.386574416,dCMP,1,1,1
meta59,meta59,1.000268388,0.061070339,320.5897413,320.5889363,-0.028073716,0.014812067,0.061026466,Glutathione,1,1,1
meta60,meta60,1.000042529,0.120934005,132.5106589,132.5105126,0.00896394,0.005729058,0.120922972,N-Acetylneuraminic acid,1,1,1
meta61,meta61,1.000068484,0.466298301,205.4817578,205.4815024,0.006058095,0.008282058,0.466254215,12-HETE,1,1,1
meta62,meta62,2.362756624,0.224503025,225.6533565,227.4863866,0.00459113,0.009255586,0.620989097,5-Thymidylic acid,0,0,0
meta63,meta63,1.000326591,0.74769133,282.2921023,282.2912736,0.003944931,0.012207123,0.747264934,Cytidine monophosphate,1,1,1
meta64,meta64,1.604452714,0.565680523,168.1324838,167.7772374,0.003356789,0.006846009,0.625009253,"Glucose 1,6-bisphosphate",0,1,1
meta65,meta65,1.000097136,0.855027486,181.4759857,181.475628,0.001346033,0.007336411,0.854809866,"Fructose 1,6-bisphosphate",1,1,1
meta66,meta66,1.000134575,0.791111282,204.9691332,204.9686576,0.002196291,0.008260634,0.790900239,Alpha-Lactose,1,1,1
meta67,meta67,1.217994032,0.803491556,203.0419482,202.719172,0.003212328,0.008167316,0.694949967,Sucrose,1,1,1
meta68,meta68,1.00013334,0.955806607,292.7304328,292.7299574,0.000730829,0.012867957,0.954825751,"3',5'-Cyclic GMP",1,1,1
meta69,meta69,1.000124817,0.444380482,272.5021218,272.5017407,0.00892379,0.011618255,0.444303434,Gibberellin A3,1,1,1
meta70,meta70,1.000248231,0.30579492,258.1736489,258.1729187,-0.011128921,0.010807169,0.305677928,Adenosine monophosphate,1,1,1
meta71,meta71,1.000020087,0.409870069,198.4164105,198.4163388,0.006614958,0.007991743,0.409858599,Inosinic acid,1,1,1
meta72,meta72,2.685186535,0.074972551,290.6935792,294.3792736,0.01456895,0.012975593,0.264295368,Prostaglandin E2,0,0,0
meta73,meta73,1.000098849,0.29359482,279.1442499,279.14393,-0.01268854,0.012014616,0.293549433,Orotidylic acid,1,1,1
meta74,meta74,1.000127559,0.273769307,123.853869,123.8535283,0.006036682,0.005483968,0.273713467,S-Adenosylhomocysteine,1,1,1
meta75,meta75,1.000433025,0.998105306,300.085428,300.0842298,0.000119925,0.013354896,0.992853654,Uridine 5'-diphosphate,1,1,1
meta76,meta76,1.000081758,0.875047745,146.7214282,146.7211119,-0.00097215,0.006155351,0.874835765,Adenosine 5'-diphosphate,1,1,1
meta77,meta77,1.00021057,0.667907796,334.6718281,334.6712315,0.006848638,0.015903908,0.667695596,Folic acid,1,1,1
meta78,meta78,1.000130388,0.181420935,163.1866668,163.186234,0.009004838,0.006689098,0.181376889,Guanosine 5'-diphosphate,1,1,1
meta79,meta79,1.000126273,0.351123466,338.1666708,338.1661908,0.015168211,0.016187125,0.351058005,5-Methyltetrahydrofolic acid,1,1,1
meta80,meta80,1.000087887,0.477932618,157.1727932,157.172496,0.004623307,0.006488988,0.477874831,Glycocholic acid,1,1,1
meta81,meta81,1.000108898,0.960382767,298.8830873,298.8827104,0.000675998,0.0132741,0.959489129,Adenosine 5'-triphosphate,1,1,1
meta82,meta82,1.000128524,0.648317797,228.0004127,227.9999697,0.004247241,0.009279625,0.648194894,Taurocholic acid,1,1,1
meta83,meta83,1.00013273,0.429156911,337.1298418,337.1293921,0.012787021,0.016102585,0.429077195,Oxidized glutathione,1,1,1
meta84,meta84,1.000084628,0.613126361,292.9231508,292.922833,0.006535077,0.012880498,0.61305234,NAD,1,1,1
meta85,meta85,1.000048894,0.364816151,120.6554164,120.6552364,0.004913411,0.005396097,0.364790239,Lactic acid,1,1,1
meta86,meta86,1.000071082,0.516251765,117.3410602,117.3408104,0.003457719,0.005306521,0.516201387,Fumarate,1,1,1
meta87,meta87,1.000046503,0.464973069,127.6316237,127.631473,0.00410071,0.00558961,0.464943305,Citraconic acid,1,1,1
meta88,meta88,1.669180188,0.346665671,140.6408864,140.4242883,0.005949041,0.005962678,0.320900975,Allantoin,0,1,1
meta89,meta89,1.000047181,0.388092027,130.8763513,130.8761892,0.004926427,0.005681964,0.38806591,Aconitic acid,1,1,1
meta90,meta90,1.000083325,0.89020753,151.370681,151.3704474,-0.000874133,0.006301598,0.889962051,Citric acid,1,1,1
meta91,meta91,1.000157432,0.171010107,276.9997531,276.999322,0.016393821,0.011885184,0.170958941,Chenodeoxycholic acid glycine conjugate,1,1,1
meta92,meta92,1.000069307,0.718958397,237.4628403,237.4625838,-0.003514032,0.009733875,0.718876609,Malondialdehyde,1,1,1
meta93,meta93,1.000095276,0.815391602,175.0529095,175.0526224,0.001664264,0.00710224,0.815223131,2-Methylpropanoate,1,1,1
meta94,meta94,1.008249077,0.997591316,163.460688,163.4446283,0.000119306,0.006697833,0.98582496,Glyceric acid,1,1,1
meta95,meta95,1.000091933,0.759067961,179.0740234,179.0737504,0.002230463,0.007247952,0.758942286,Alpha-Ketoisovaleric acid,1,1,1
meta96,meta96,1.000066234,0.197144242,124.6262142,124.6259612,0.007149951,0.005505404,0.197120663,Methylsuccinic acid,1,1,1
meta97,meta97,1.000099748,0.198033463,150.8086425,150.8082628,0.008144686,0.006283732,0.197997756,Oxalacetic acid,1,1,1
meta98,meta98,1.000103249,0.086408772,172.8482394,172.8479527,0.012167423,0.007023598,0.086387382,Oxoglutaric acid,1,1,1
meta99,meta99,1.000048887,0.31186064,111.1288733,111.1286831,0.005228369,0.005142617,0.311837371,2-Hydroxyglutarate,1,1,1
meta100,meta100,1.599647173,0.34228692,178.7219721,178.3755196,0.00800794,0.007222438,0.270275817,Fructose,0,1,1
meta101,meta101,1.152733549,0.220245615,219.1890235,218.9378243,0.012244585,0.008864484,0.170357901,Glucose 1-phosphate,1,1,1
