metabolic,MHYA_nonNA,MHYA_detected,MHYB_nonNA,MHYB_detected,MHY_pvalue,MHY_test_used,MLYA_nonNA,MLYA_detected,MLYB_nonNA,MLYB_detected,MLY_pvalue,MLY_test_used
cis-Aconitic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Citric acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Chenodeoxycholic acid glycine conjugate,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Malondialdehyde,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Phenylmethyl 2-methylpropanoate,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Glyceric acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Alpha-ketoisovaleric acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Methylsuccinic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Oxalacetic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Oxoglutaric acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
2-Hydroxyglutarate,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
D-Fructose,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Glucose 1-phosphate,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Geranyl-PP,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Adenylsuccinic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Glycerol 3-phosphate,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Glyceraldehyde,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Pyruvic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Methyl (R)-3-methyl-2-oxopentanoate,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Isocitric acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Homovanillic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Trimethylamine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Glycine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Trimethylamine N-oxide,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Sarcosine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Alanine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Cadaverine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
2-Aminoisobutyric acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Choline,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Dimethylglycine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Serine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Cytosine,19,0.95,16,0.8,0.341649342,Fisher,23,0.766666667,27,0.9,0.298979382,Fisher
Creatinine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Proline,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
5-Aminopentanoic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Betaine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Valine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Indole,13,0.65,16,0.8,0.480115351,Fisher,28,0.933333333,16,0.533333333,0.000909813,Fisher
L-Homoserine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Threonine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Cysteine,11,0.55,8,0.4,0.526571975,Chi-square,9,0.3,14,0.466666667,0.288184265,Chi-square
Niacinamide,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Taurine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Pyroglutamic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Pipecolic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
N-Acetylputrescine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Creatine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
4-Hydroxyproline,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
5-Aminolevulinic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Isoleucine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Leucine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Ornithine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Asparagine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Homocysteine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
N-Methylnicotinamide,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Tyramine,6,0.3,3,0.15,0.450576451,Fisher,5,0.166666667,8,0.266666667,0.530831948,Chi-square
4-Acetamidobutanoic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Spermidine,17,0.85,16,0.8,1,Fisher,23,0.766666667,27,0.9,0.298979382,Fisher
L-Glutamine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Lysine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
DL-Glutamate,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Methionine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Histidine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Tryptamine,19,0.95,16,0.8,0.341649342,Fisher,24,0.8,28,0.933333333,0.254214336,Fisher
L-Carnitine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Phenylalanine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
1-Methyl-L-histidine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Arginine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Indoleacetic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Glucosamine,19,0.95,20,1,1,Fisher,29,0.966666667,29,0.966666667,1,Fisher
L-Tyrosine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
N8-Acetylspermidine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Acetylcarnitine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Tryptophan,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Indolelactic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
L-Kynurenine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
3-hydroxy-L-kynurenin,0,0,0,0,1,Fisher,0,0,0,0,1,Fisher
Melatonin,19,0.95,19,0.95,1,Fisher,26,0.866666667,28,0.933333333,0.67074852,Fisher
L-Cystine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Cytidine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
N1-Acetylspermine,6,0.3,4,0.2,0.716426555,Fisher,9,0.3,9,0.3,1,Chi-square
Uridine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Adenosine,18,0.9,17,0.85,1,Fisher,24,0.8,29,0.966666667,0.102789717,Fisher
Inosine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
2'-O-Methyladenosine,20,1,19,0.95,1,Fisher,26,0.866666667,29,0.966666667,0.353256021,Fisher
Guanosine monophosphate,18,0.9,18,0.9,1,Fisher,27,0.9,27,0.9,1,Fisher
S-Adenosylmethionine,1,0.05,0,0,1,Fisher,5,0.166666667,3,0.1,0.706469199,Fisher
Alpha-Tocopherol,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Bilirubin,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
1-methyladenosine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Serotonin,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Xanthurenic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
4-Trimethylammoniobutanoic acid,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Epinephrine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Indolepyruvate,14,0.7,15,0.75,1,Chi-square,17,0.566666667,18,0.6,1,Chi-square
1-Methylguanosine,20,1,20,1,1,Fisher,30,1,30,1,1,Fisher
Normetanephrine,9,0.45,13,0.65,0.340355742,Chi-square,16,0.533333333,14,0.466666667,0.796253415,Chi-square
